mst,client_type
5100174626,Công ty cổ phần
5100300704,Công ty TNHH
0100100417-022,Công ty TNHH
5100311061,Công ty nhà nước
5100296790,Công ty nhà nước
5100296663,Công ty nhà nước
5100296857,Công ty nhà nước
5100296825,Công ty nhà nước
5100421628,Công ty nhà nước
5100296085,Công ty nhà nước
0601140562,Công ty cổ phần
0100773902-003,Công ty tư nhân
0105789409,Công ty nhà nước
0303091197,Công ty cổ phần
0301452948,Công ty nhà nước
0200253985,Công ty tư nhân
6200045947,Công ty cổ phần
6200010542,Công ty TNHH
6200070397,Công ty TNHH
6200094380,Công ty TNHH
6200053144,Công ty cổ phần
5600148409,Công ty tư nhân
6200065340,Công ty TNHH
6200088919,Công ty TNHH
6200091238,Công ty tư nhân
6200066182,Công ty cổ phần
5300212646-001,Công ty cổ phần
5300199434,Công ty tư nhân
6200011345,Công ty tư nhân
6200014360,Công ty cổ phần
6200077392,Công ty TNHH
6200090026,Công ty TNHH
6200067884,Công ty TNHH
6200000093-002,Công ty TNHH
6200063590,Công ty TNHH
6200084858,Công ty cổ phần
6200000287,Công ty cổ phần
5300235026-001,Công ty TNHH
6200083170,Công ty nhà nước
5600120393,Công ty tư nhân
5600127247,Công ty TNHH
6200044735,Công ty TNHH
6200014699,Công ty tư nhân
5200126376,Công ty nhà nước
5200796966,Công ty tư nhân
5200743844,Công ty TNHH
5200215192,Công ty nhà nước
5200152471,Công ty nhà nước
5200647548,Công ty TNHH
5200466397,Công ty TNHH
0102900049,Công ty cổ phần
0102900049-003,Công ty cổ phần
0100111948-009,Công ty nhà nước
0500447004,Công ty cổ phần
1001125194-002,Công ty Liên doanh
3700381324-454,Công ty cổ phần
0500387891,Công ty cổ phần
0601159468,Công ty TNHH
0601010612,Công ty TNHH
0601142111,Công ty TNHH
0600341964,Công ty cổ phần
4500637193,Công ty cổ phần
5600101295,Công ty cổ phần
5600190873,Công ty tư nhân
5600184527,Công ty nhà nước
5600101256,Công ty cổ phần
5600217349,Công ty cổ phần
0101175912-002,Công ty tư nhân
5600180071,Công ty tư nhân
5600100478,Công ty cổ phần
0600289150,Công ty cổ phần
0201293596,Công ty TNHH
0601110053,Công ty TNHH
0601143771,Công ty TNHH
0600408866,Công ty TNHH
0601121513,Công ty TNHH
0600296373,Công ty cổ phần
0600681216,Công ty TNHH
0601140788,Công ty TNHH
0600329702,Công ty TNHH
0600989201,Công ty cổ phần
0600981361,Công ty TNHH
0600815597,Công ty TNHH
0600121128,Công ty TNHH
0600312970,Công ty TNHH
0600296817,Công ty tư nhân
0600418712,Công ty nhà nước
4800105513,Công ty nhà nước
4800130037,Công ty nhà nước
4800150298,Công ty TNHH
4800655203,Công ty TNHH
4800132115,Công ty TNHH
4800890302,Công ty TNHH
0101282745,Công ty cổ phần
4800147601,Công ty TNHH
4800155433,Công ty TNHH
4800799974,Công ty TNHH
4800152834,Công ty cổ phần
4800153362,Công ty nhà nước
4800103442,Công ty TNHH
4800153041,Công ty cổ phần
4800157222,Công ty nhà nước
4800115198,Công ty TNHH
4800143364,Công ty nhà nước
4800913616,Công ty nhà nước
4800166795,Công ty nhà nước
0800275349,Công ty cổ phần
0800246771,Công ty cổ phần
0800902896,Công ty cổ phần
0800842319,Công ty cổ phần
0800065006,Công ty cổ phần
0800529297,Công ty cổ phần
0100769649,Công ty nhà nước
0600451325,Công ty TNHH
0600378259,Công ty cổ phần
0100686174-440,Công ty nhà nước
0600337397,Công ty cổ phần
0600339595,Công ty TNHH
0600336643,Công ty tư nhân
0601072545,Công ty TNHH
0600335537,Công ty TNHH
0600364231,Công ty TNHH
0600399763,Công ty tư nhân
0600335907,Công ty tư nhân
0600754827,Công ty cổ phần
0600480051,Công ty cổ phần
0600333674,Công ty cổ phần
0600486550,Công ty TNHH
0600611321,Công ty cổ phần
0600312843,Công ty cổ phần
0600323764,Công ty nhà nước
0100686209-169,Công ty tư nhân
3500446013,Công ty tư nhân
0100695387-049,"Tập đoàn, Tổng công ty"
6100404991,Công ty nhà nước
6101128670,Công ty nhà nước
6100491659,Công ty nhà nước
6100471028,Công ty nhà nước
6100468459,Công ty nhà nước
6100242998,Công ty nhà nước
6100405184,Công ty nhà nước
6100624161,Công ty nhà nước
6100776245,Công ty nhà nước
6100139119,Công ty nhà nước
6100229605,Công ty nhà nước
6100471010,Công ty nhà nước
6100139415,Công ty nhà nước
6100530442,Công ty nhà nước
6100405000,Công ty nhà nước
6100522018,Công ty nhà nước
6100556948,Công ty nhà nước
6100522265,Công ty nhà nước
6100490528,Công ty nhà nước
6100138972,Công ty nhà nước
0400101394,Công ty nhà nước
6100138958,Công ty nhà nước
6100241923,Công ty nhà nước
6100521991,Công ty nhà nước
6100404913,Công ty nhà nước
6100468515,Công ty nhà nước
6100468508,Công ty nhà nước
6101196448,Công ty nhà nước
6100556955,Công ty nhà nước
6100491666,Công ty nhà nước
6100468466,Công ty nhà nước
6100573710,Công ty nhà nước
6100405071,Công ty nhà nước
6100229612,Công ty nhà nước
6100470955,Công ty nhà nước
6100139038,Công ty nhà nước
6100404920,Công ty nhà nước
6100229637,Công ty nhà nước
6100471037,Công ty nhà nước
6101190929,Công ty nhà nước
6100602288,Công ty nhà nước
6101179499,Công ty nhà nước
6100405032,Công ty nhà nước
1700197787-048,Công ty TNHH
1500149987,Công ty TNHH
1500152147,Công ty TNHH
1500153158,Công ty TNHH
1500160229,Công ty TNHH
1500169888,Công ty cổ phần
1500170900,Công ty cổ phần
1500171982,Công ty TNHH
1500173891,Công ty cổ phần
1500174574,Công ty cổ phần
1500174831,Công ty cổ phần
1500175169,Công ty cổ phần
1500184170,Công ty cổ phần
1500185946,Công ty TNHH
1500216753,Công ty cổ phần
4500606903,Công ty TNHH
0100150619-053,Công ty TNHH
0100111948-080,Công ty cổ phần
0100686174-194,Công ty TNHH
4500369593,Công ty TNHH
4500280264-008,Công ty TNHH
4500605875,Công ty TNHH
0102180545,Công ty cổ phần
0302391568,Công ty tư nhân
4500397061,Công ty TNHH
3500401333,Công ty tư nhân
3500804935,Công ty cổ phần
3500100110-009,Công ty nhà nước
3502206923,Công ty tư nhân
3501294116,Công ty TNHH
3502367913,Công ty nhà nước
4800806903,Công ty TNHH
4800903223,Công ty nhà nước
0100150619-018,Công ty nhà nước
4800153718,Công ty TNHH
4800229188,Công ty nhà nước
4800117727,Công ty nhà nước
4800117068,Công ty nhà nước
4800103795,Công ty cổ phần
4800118110,Công ty TNHH
4800641497,Công ty nhà nước
4800146319,Công ty cổ phần
4800155948,Công ty TNHH
4800173626,Công ty TNHH
4800114821,Công ty TNHH
0101527385-026,Công ty nhà nước
4800243288,Công ty nhà nước
0700549564,Công ty TNHH
0700801742,Công ty TNHH
1500220164,Công ty cổ phần
1500235749,Công ty Hợp danh
1500239341,Công ty TNHH
4800131778,Công ty TNHH
4800888303,Công ty cổ phần
4800882816,Công ty TNHH
5400254329,Công ty cổ phần
5400389005,Công ty cổ phần
5400231297,Công ty tư nhân
5400267776,Công ty TNHH
5200191343,Công ty TNHH
5200285168,Công ty cổ phần
5200587433,Công ty nhà nước
5200818948,Công ty nhà nước
5200176176,Công ty nhà nước
5200795031,Công ty TNHH
5200197056-012,Công ty nhà nước
5200679331,Công ty nhà nước
5200194312,Công ty nhà nước
5200232409,Công ty TNHH
0101245486,Công ty nhà nước
0102062069,Công ty nhà nước
0101335193,Công ty TNHH
0100283873,Công ty TNHH
0100283873-099,Công ty TNHH
4101393097,Công ty tư nhân
0400101394-007,Công ty nhà nước
5400313119,Công ty TNHH
0106869738-013,Công ty nhà nước
0101623635,Công ty cổ phần
5400364667,Công ty cổ phần
5400336243,Công ty TNHH
5400308366,Công ty tư nhân
0100102012-021,Công ty TNHH
5400388763,Công ty TNHH
5400315035,Công ty cổ phần
5400429850,Công ty TNHH
5500585966,Công ty tư nhân
0301412222,Công ty TNHH
0311715794,Công ty cổ phần
0315404542,Công ty tư nhân
4101519864,Công ty TNHH
4100458383,Công ty TNHH
0100111948-010,Công ty cổ phần
0100686174-416,Công ty nhà nước
0100686174-418,Công ty nhà nước
0101419936,Công ty TNHH
2600278089,Công ty TNHH
0101545803-001,Công ty TNHH
2600978651,Công ty nhà nước
0106342275-001,Công ty cổ phần
0100686174-424,Công ty nhà nước
0100686174-743,Công ty nhà nước
3200406651,Công ty TNHH
3200141268,Công ty TNHH
0100100953,Công ty cổ phần
1500312591,Công ty TNHH
1500321719,Công ty TNHH
1500325022,Công ty TNHH
1500351262,Công ty TNHH
1500360965,Công ty TNHH
1500366766,Công ty TNHH
1500366822,Công ty TNHH
1500371156,Công ty Liên doanh
1500384081,Công ty TNHH
1500392477,Công ty TNHH
1500392886,Công ty TNHH
1500396721,Công ty TNHH
1500398334,Công ty TNHH
