name,url
B.F. Ascher & Company,https://www.drugs.com/manufacturer/b-f-ascher-amp-company-inc-351.html
Barr Laboratories,https://www.drugs.com/manufacturer/barr-laboratories-inc-200.html
Bausch & Lomb,https://www.drugs.com/manufacturer/bausch-lomb-inc-27.html
Bausch Health Companies,https://www.drugs.com/manufacturer/bausch-health-companies-inc-147.html
Baxalta Incorporated,https://www.drugs.com/manufacturer/baxalta-incorporated-555.html
Baxter International,https://www.drugs.com/manufacturer/baxter-international-inc-26.html
Bayer Healthcare Consumer Care,https://www.drugs.com/manufacturer/bayer-healthcare-consumer-care-520.html
Bayer HealthCare Pharmaceuticals,https://www.drugs.com/manufacturer/bayer-healthcare-pharmaceuticals-inc-28.html
Bayshore Pharmaceuticals,https://www.drugs.com/manufacturer/bayshore-pharmaceuticals-llc-500.html
BD Rx,https://www.drugs.com/manufacturer/bd-rx-inc-496.html
Benuvia Therapeutics,https://www.drugs.com/manufacturer/benuvia-therapeutics-inc-578.html
BioDelivery Sciences International,https://www.drugs.com/manufacturer/biodelivery-sciences-international-inc-29.html
Biofrontera AG,https://www.drugs.com/manufacturer/biofrontera-ag-570.html
Biogen,https://www.drugs.com/manufacturer/biogen-inc-30.html
BioMarin Pharmaceutical,https://www.drugs.com/manufacturer/biomarin-pharmaceutical-inc-448.html
Bionpharma,https://www.drugs.com/manufacturer/bionpharma-inc-551.html
Biovail Corporation,https://www.drugs.com/manufacturer/biovail-corporation-172.html
Blu Pharmaceuticals,https://www.drugs.com/manufacturer/blu-pharmaceuticals-llc-254.html
Blue Earth Diagnostics,https://www.drugs.com/manufacturer/blue-earth-diagnostics-ltd-571.html
Boehringer Ingelheim Pharmaceuticals,https://www.drugs.com/manufacturer/boehringer-ingelheim-pharmaceuticals-inc-31.html
Braintree Laboratories,https://www.drugs.com/manufacturer/braintree-laboratories-inc-415.html
Breckenridge Pharmaceutical,https://www.drugs.com/manufacturer/breckenridge-pharmaceutical-inc-32.html
Bristol-Myers Squibb Company,https://www.drugs.com/manufacturer/bristol-myers-squibb-company-33.html
Camber Pharmaceuticals,https://www.drugs.com/manufacturer/camber-pharmaceuticals-inc-219.html
Capellon Pharmaceuticals,https://www.drugs.com/manufacturer/capellon-pharmaceuticals-llc-295.html
Caraco Pharmaceutical Laboratories,https://www.drugs.com/manufacturer/caraco-pharmaceutical-laboratories-ltd-34.html
Cardinal Health,https://www.drugs.com/manufacturer/cardinal-health-493.html
Carlsbad Technology,https://www.drugs.com/manufacturer/carlsbad-technology-inc-289.html
Celgene Corporation,https://www.drugs.com/manufacturer/celgene-corporation-170.html
Celltrion,https://www.drugs.com/manufacturer/celltrion-inc-566.html
Centrix Pharmaceutical,https://www.drugs.com/manufacturer/centrix-pharmaceutical-inc-252.html
Cephalon,https://www.drugs.com/manufacturer/cephalon-inc-36.html
Chain Drug Marketing Association,https://www.drugs.com/manufacturer/chain-drug-marketing-association-471.html
Chattem,https://www.drugs.com/manufacturer/chattem-inc-373.html
Chelsea Therapeutics,https://www.drugs.com/manufacturer/chelsea-therapeutics-483.html
Chiesi USA,https://www.drugs.com/manufacturer/chiesi-usa-inc-311.html
Chugai Pharma USA,https://www.drugs.com/manufacturer/chugai-pharma-usa-inc-37.html
Cipla USA,https://www.drugs.com/manufacturer/cipla-usa-inc-605.html
Clovis Oncology,https://www.drugs.com/manufacturer/clovis-oncology-inc-589.html
Cobalt Laboratories,https://www.drugs.com/manufacturer/cobalt-laboratories-inc-38.html
Coherus BioSciences,https://www.drugs.com/manufacturer/coherus-biosciences-inc-649.html
Colgate Oral Pharmaceuticals,https://www.drugs.com/manufacturer/colgate-oral-pharmaceuticals-363.html
Collegium Pharmaceutical,https://www.drugs.com/manufacturer/collegium-pharmaceutical-inc-39.html
Concordia Pharmaceuticals,https://www.drugs.com/manufacturer/concordia-pharmaceuticals-inc-247.html
CordenPharma International,https://www.drugs.com/manufacturer/cordenpharma-international-526.html
CorePharma,https://www.drugs.com/manufacturer/corepharma-llc-211.html
Covis Pharmaceuticals,https://www.drugs.com/manufacturer/covis-pharmaceuticals-inc-647.html
Crealta Pharmaceuticals,https://www.drugs.com/manufacturer/crealta-pharmaceuticals-llc-603.html
CSL Behring,https://www.drugs.com/manufacturer/csl-behring-40.html
Cubist Pharmaceuticals,https://www.drugs.com/manufacturer/cubist-pharmaceuticals-inc-511.html
Cumberland Pharmaceuticals,https://www.drugs.com/manufacturer/cumberland-pharmaceuticals-inc-641.html
Currax Pharmaceuticals,https://www.drugs.com/manufacturer/currax-pharmaceuticals-llc-387.html
Cypress Pharmaceutical,https://www.drugs.com/manufacturer/cypress-pharmaceutical-inc-279.html
Daiichi Sankyo,https://www.drugs.com/manufacturer/daiichi-sankyo-165.html
DAVA Pharmaceuticals,https://www.drugs.com/manufacturer/dava-pharmaceuticals-inc-42.html
Dey Pharma,https://www.drugs.com/manufacturer/dey-pharma-43.html
Digestive Care,https://www.drugs.com/manufacturer/digestive-care-inc-44.html
Dr. Reddy's Laboratories,https://www.drugs.com/manufacturer/dr-reddy-s-laboratories-inc-47.html
Ducere Pharma,https://www.drugs.com/manufacturer/ducere-pharma-llc-509.html
Durata Therapeutics,https://www.drugs.com/manufacturer/durata-therapeutics-inc-494.html
Dyax Corp,https://www.drugs.com/manufacturer/dyax-corp-48.html
Dynavax Technologies Corporation,https://www.drugs.com/manufacturer/dynavax-technologies-corporation-611.html
Eagle Pharmaceuticals,https://www.drugs.com/manufacturer/eagle-pharmaceuticals-inc-522.html
Edwards Pharmaceuticals,https://www.drugs.com/manufacturer/edwards-pharmaceuticals-253.html
Egalet Corporation,https://www.drugs.com/manufacturer/egalet-corporation-590.html
Eisai,https://www.drugs.com/manufacturer/eisai-inc-49.html
Elan Corporation,https://www.drugs.com/manufacturer/elan-corporation-plc-50.html
Eli Lilly and Company,https://www.drugs.com/manufacturer/eli-lilly-and-company-81.html
Elorac,https://www.drugs.com/manufacturer/elorac-inc-182.html
Elusys Therapeutics,https://www.drugs.com/manufacturer/elusys-therapeutics-inc-565.html
EMD Serono,https://www.drugs.com/manufacturer/emd-serono-inc-464.html
Emergent BioSolutions,https://www.drugs.com/manufacturer/emergent-biosolutions-inc-556.html
Encore Dermatology,https://www.drugs.com/manufacturer/encore-dermatology-inc-640.html
Endo Pharmaceuticals,https://www.drugs.com/manufacturer/endo-pharmaceuticals-inc-51.html
EPI Health,https://www.drugs.com/manufacturer/epi-health-inc-639.html
Epic Pharma,https://www.drugs.com/manufacturer/epic-pharma-llc-362.html
Espero Biopharma,https://www.drugs.com/manufacturer/espero-biopharma-575.html
EUSA Pharma,https://www.drugs.com/manufacturer/eusa-pharma-55.html
Excellium Pharmaceutical,https://www.drugs.com/manufacturer/excellium-pharmaceutical-inc-265.html
Exelixis,https://www.drugs.com/manufacturer/exelixis-inc-567.html
Exeltis USA,https://www.drugs.com/manufacturer/exeltis-usa-inc-270.html
Fera Pharmaceuticals,https://www.drugs.com/manufacturer/fera-pharmaceuticals-245.html
Ferring Pharmaceuticals,https://www.drugs.com/manufacturer/ferring-pharmaceuticals-inc-176.html
Fibrocell Science,https://www.drugs.com/manufacturer/fibrocell-science-inc-554.html
Flamel Technologies,https://www.drugs.com/manufacturer/flamel-technologies-519.html
Flexion Therapeutics,https://www.drugs.com/manufacturer/flexion-therapeutics-inc-609.html
Forest Laboratories,https://www.drugs.com/manufacturer/forest-laboratories-llc-56.html
Fresenius Kabi USA,https://www.drugs.com/manufacturer/fresenius-kabi-usa-llc-490.html
Fresenius Medical Care,https://www.drugs.com/manufacturer/fresenius-medical-care-183.html
G.D. Searle,https://www.drugs.com/manufacturer/g-d-searle-llc-507.html
Galderma Laboratories,https://www.drugs.com/manufacturer/galderma-laboratories-l-p-171.html
Galectin Therapeutics,https://www.drugs.com/manufacturer/galectin-therapeutics-inc-118.html
Gavis Pharmaceuticals,https://www.drugs.com/manufacturer/gavis-pharmaceuticals-llc-326.html
Gemini Laboratories,https://www.drugs.com/manufacturer/gemini-laboratories-604.html
Gemini Pharmaceuticals,https://www.drugs.com/manufacturer/gemini-pharmaceuticals-516.html
