,mck,ten_cong_ty,mst,cong_ty_con,doanh_thu_2020,doanh_thu_2021
270,BIG,CTCP Big Invest Group,108045831.0,,"101,744","139,822"
271,BII,CTCP Louis Land,3400555146.0,"Công ty TNHH MTV Đô thị an sinh Định Thành, Công ty THNN Louis Land Bà Rịa - Vũng Tàu, CTCP Louis Mega Tower, Công ty TNHH TOCCOO Việt Nam","69,364","493,008"
272,BIO,CTCP Vắc xin và Sinh phẩm Nha Trang,4200451832.0,,"35,979","38,335"
273,BKC,CTCP khoáng sản Bắc Kạn,4700149595.0,"Công ty TNHH MTV Việt Trung, CTCP Đầu tư Thương mại và Du lịch Bó Nặm, CTCP Khoáng sản Bắc Kạn Lào","214,695","377,972"
274,BLF,CTCP Thủy sản Bạc Liêu,1900253340.0,Công ty TNHH Khang Phú,"529,686","418,739"
275,BLI,Tổng Công ty cổ phần Bảo hiểm Bảo Long,301458065.0,,"937,643","1,092,236"
276,BLN,CTCP Vận tải và Dịch vụ Liên Ninh,106953041.0,,"157,974","140,880"
277,BLT,CTCP Lương thực Bình Định,4100259042.0,,"1,153,847","1,720,674"
278,BLW,CTCP Cấp nước Bạc Liêu,1900605680.0,,"59,686","60,053"
279,BMC,CTCP Khoáng sản Bình Định,4100390008.0,CT Khoáng sản Bình Định Việt Nam - Malaysia,"225,740","137,445"
280,BMD,CTCP Môi trường và Dịch vụ Đô thị Bình Thuận,3400861721.0,,"96,940","87,880"
281,BMF,CTCP Vật liệu Xây dựng và Chất đốt Đồng Nai,3600661303.0,Công ty TNHH Thực phẩm Rạng Đông,"1,031,805","2,658,726"
282,BMG,CTCP May Bình Minh,301886832.0,,"335,232","266,978"
283,BMI,Tổng Công ty cổ phần Bảo Minh,300446973.0,Công ty Bảo hiểm Liên hiệp,"3,791,577","3,768,684"
284,BMJ,CTCP Khoáng sản Miền Đông AHP,3700927878.0,CTCP Đá Ốp Lát An Bình,"97,271","76,061"
285,BMN,CTCP 715,1500342370.0,"Công ty TNHH Xây dựng Công trình số 1-715, Công ty TNHH Xây dựng Công trình số 2-715","104,994","120,145"
286,BMP,CTCP Nhựa Bình Minh,301464823.0,"Công ty TNHH MTV Nhựa Bình Minh Miền Bắc, CTCP Nhựa Đà Nẵng, CTCP Đầu tư Kinh doanh Bất động sản Bình Minh Việt","4,685,640","4,552,757"
287,BMS,CTCP Chứng khoán Bảo Minh,102727651.0,,"434,858","552,113"
288,BMV,CTCP Bột mỳ Vinafood 1,107151097.0,,"625,053","773,394"
289,BNW,CTCP Nước sạch Bắc Ninh,2300108311.0,"Công ty TNHH Đầu tư cấp nước Bắc Ninh, Công ty TNHH Cấp nước Bắc Ninh, CTCP Cấp nước số 2 Bắc Ninh","185,017","197,438"
290,BOT,CTCP BOT Cầu Thái Hà,1001045855.0,Công ty TNHH Tiến Đại Phát,"25,694","114,850"
291,BPC,CTCP VICEM Bao bì Bỉm Sơn,2800508928.0,,"249,326","264,008"
292,BQB,CTCP Bia Hà Nội - Quảng Bình,3100301045.0,,"29,752","24,801"
293,BRC,CTCP Cao su Bến Thành,301150295.0,Nông trường cao su Phước Minh,"288,670","348,077"
294,BRR,CTCP Cao su Bà Rịa,3500103432.0,CTCP Cao su Bà Rịa - Kampongthom,"393,128","499,782"
295,BRS,CTCP Dịch vụ Đô thị Bà Rịa,3500100167.0,,"114,725","124,671"
296,BSA,CTCP Thủy điện Buôn Đôn,6000884487.0,,"318,359","328,406"
297,BSC,CTCP Dịch vụ Bến Thành,305246978.0,"CTCP Giao nhận Bến Thành, CTCP Dịch vụ Vĩnh Lộc - Bến Thành","12,537","7,306"
298,BSD,"CTCP Bia, Rượu Sài Gòn - Đồng Xuân",2600114002.0,,"253,703","273,423"
299,BSG,CTCP Xe khách Sài Gòn,300478044.0,,"398,436","281,197"
300,BSH,CTCP Bia Sài Gòn - Hà Nội,1023140541.0,,"551,173","564,300"
301,BSI,CTCP Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam,101003060.0,,"912,577","1,333,025"
302,BSL,CTCP Bia Sài Gòn - Sông Lam,2900783332.0,,"700,309","715,253"
303,BSP,CTCP Bia Sài Gòn - Phú Thọ,2600393941.0,,"345,543","391,360"
304,BSQ,CTCP Bia Sài Gòn - Quảng Ngãi,4300338460.0,,"1,090,606","1,192,153"
305,BSR,CTCP Lọc hóa Dầu Bình Sơn,4300378569.0,"CTCP Nhà và Thương mại Dầu khí, CTCP Nhiên liệu Sinh học Dầu khí Miền Trung, CTCP Bảo dưỡng và Sửa chữa Công trình Dầu khí (PMS), Công ty TNHH Kho ngầm Xăng dầu Dầu khí Việt Nam (PVOS)","57,959,113","101,080,035"
306,BST,CTCP Sách và Thiết bị Bình Thuận,3400393632.0,,"61,649","68,695"
307,BT1,CTCP Bảo vệ Thực vật 1 Trung Ương,100101611.0,,"331,430","299,411"
308,BT6,CTCP Beton 6,3700364079.0,"CTCP 3D, CTCP Xây dựng và Kỹ thuật H&B, CTCP Beton 6 - Pro","89,637","46,562"
309,BTB,CTCP Bia Hà Nội - Thái Bình,1000317707.0,,"136,631","122,019"
310,BTD,CTCP Bê tông Ly tâm Thủ Đức,303171325.0,"CTCP Bê Tông Ly tâm Thủ Đức 1, CTCP Bê tông Ly tâm Vinaincon","1,181,293","1,202,118"
311,BTG,CTCP Bao bì Tiền Giang,1200568151.0,,"29,552","19,860"
312,BTH,CTCP Chế tạo Biến thế và Vật liệu Điện Hà Nội,100779340.0,,"4,276",114
313,BTN,CTCP Gạch Tuy Nen Bình Định,4100431180.0,,"13,054","7,946"
314,BTP,CTCP Nhiệt điện Bà Rịa,3500701305.0,CTCP Thủy điện Buôn Đôn,"750,177","1,212,907"
315,BTS,CTCP Xi măng VICEM Bút Sơn,700117613.0,,"3,063,547","2,979,818"
316,BTT,CTCP Thương mại Dịch vụ Bến Thành,301164065.0,"CTCP Dịch vụ Vĩnh Lộc - Bến Thành, CTCP Bến Thành - Mũi Né","167,191","103,253"
317,BTU,CTCP Công trình Đô thị Bến Tre,1300113091.0,Công ty TNHH MTV Xây dựng và Phát triển Đô thị Bến Tre,"83,999","88,542"
318,BTV,CTCP Dịch vụ Du lịch Bến Thành,301171827.0,"Công ty TNHH MTV Bến Thành Boutique, Công ty TNHH Du lịch Bến Thành - Phú Xuân, Công ty TNHH Khách sạn Bến Thành Đồng Khởi Boutique, Công ty TNHH Căn hộ cho thuê nhà Phong Lan","358,619","315,265"
319,BTW,CTCP Cấp nước Bến Thành,304789925.0,,"454,005","389,680"
320,BVG,CTCP GROUP BẮC VIỆT,100979011.0,CTCP Công nghiệp Bắc Việt,"135,399",
321,BVH,Tập đoàn Bảo Việt,100111761.0,"Tổng Công ty Bảo hiểm Bảo Việt, Công ty TNHH MTV Đầu tư Bảo Việt, Công ty TNHH Quản lý Quỹ Bảo Việt (BVF), Tổng Công ty Bảo Việt Nhân Thọ, Công ty TNHH Bảo Việt - Âu Lạc, CTCP Chứng khoán Bảo Việt (BVSC), Công ty Cổ phần Đầu tư SCIC - Bảo Việt, Ngân hàng TMCP Bảo Việt, Công ty TNHH Bảo hiểm Bảo Việt - Tokio Marine, CTCP Trung Nam Phú Quốc, CTCP Đầu tư và Xây dựng Long Việt, CTCP Công nghệ Thông tin PLT, CTCP Thủy điện Nậm Mu, CTCP Hòn Tằm Biển Nha Trang","34,524,044","36,827,962"
322,BVL,CTCP BV Land,102983609.0,CTCP Sản xuất Thương mại Dịch vụ Đồng Nai,"312,079","599,622"
323,BVN,CTCP Bông Việt Nam,301225328.0,CTCP bông và KDTH TM,"24,809","46,786"
324,BVS,CTCP Chứng khoán Bảo Việt,100956399.0,,"568,060","1,138,320"
325,BWA,CTCP Cấp thoát nước và Xây dựng Bảo Lộc,5800563106.0,,"26,178","29,798"
326,BWE,CTCP Nước - Môi trường Bình Dương,3700145694.0,"CTCP Tái chế vật liệu xanh, Công ty Cổ phần xây lắp - Điện Biwase, CTCP Đầu tư & Xây dựng Chánh Phú Hòa, CTCP Cấp nước Gia Tân ( Giwaco ), CTCP Cấp nước Đồng Nai, Tổng công ty sản xuất và xuất nhập khẩu Bình Dương","3,025,337","3,118,867"
327,BWS,CTCP Cấp nước Bà Rịa - Vũng Tàu,3500101386.0,"CTCP Cấp nước Phú Mỹ, CTCP Cấp nước Châu Đức","674,547","628,982"
328,BXH,CTCP VICEM Bao bì Hải Phòng,200600741.0,,"203,894","229,500"
329,C12,CTCP Cầu 12,100104651.0,CTCP Đầu tư Phát triển Long Thành,"1,033,467","301,619"
330,C21,CTCP Thế Kỷ 21,300978657.0,"Công ty TNHH Hàm Tân Thế kỷ 21, Công ty TNHH Sao Mai Thế Kỷ 21, Công ty TNHH An Việt Thế kỷ 21, CTCP Đầu tư phát triển nông nghiệp Thế kỉ 21, Công ty TNHH Đầu tư Nhơn Trạch TK21","80,860","33,534"
331,C22,CTCP 22,100512724.0,,"431,818","341,679"
332,C32,CTCP CIC39,3700146225.0,"CTCP Khoáng sản Xây dựng Tiến Phước, CTCP Bê tông ly tâm Thủ Đức Long An, CTCP Miền Đông","638,219","515,893"
333,C47,CTCP Xây dựng 47,4100258747.0,CTCP Thủy điện Văn Phong,"1,233,083","881,943"
334,C4G,CTCP Tập đoàn CIENCO4,2900324850.0,"CTCP Green Tea Islands, CTCP Thiết bị giáo dục 2, CTCP Đầu tư Cienco4 Land, CTCP 422, CTCP 407, CTCP 412, CTCP 414, Công ty TNHH TM và XD Quốc Thắng Hà Nội, CTCP Cienco4 Japan Bridge, Công ty TNHH MTV BOT Thái Nguyên - Chợ Mới, CTCP 499, CTCP Tư vấn CIENCO4, CTCP Xây dựng và Đầu tư 415, Công ty TNHH BOT cầu Yên Lệnh","2,089,845","1,885,076"
335,C69,CTCP Xây dựng 1369,800282385.0,"Công ty TNHH Tư vấn Xây dựng Đông Á, CTCP Khu công nghiệp 1369, CTCP Cơ điện Nông nghiệp Hải Dương, CTCP Gốm Xây dựng Giếng Đáy Quảng Ninh","327,368","338,070"
336,C92,CTCP Xây dựng và Đầu tư 492,2900329305.0,,"194,038","180,896"
337,CAB,CTCP Tổng Công ty Truyền hình Cáp Việt Nam,105926285.0,"Công ty TNHH MTV Hạ tầng viễn thông VTV cab, CTCP Công nghệ Việt Thành, CTCP Phát triển Thể thao VTVcab, CTCP VTVcab Nam Định, CTCP Truyền thông ON+, CTCP Truyền hình tương tác Việt Nam, CTCP Truyền thông, Quảng cáo Đa phương tiện","2,240,846","2,246,572"
338,CAD,CTCP Chế biến và Xuất nhập khẩu Thủy sản Cadovimex,2000102580.0,CTCP Chế biến & XNK Thủy sản Cadovimex II,"22,284","22,821"
339,CAG,CTCP Cảng An Giang,1600125108.0,,"57,138","53,351"
340,CAN,CTCP Đồ hộp Hạ Long,200115840.0,Công ty TNHH MTV Đồ Hộp Hạ Long - Đà Nẵng,"734,343","864,077"
341,CAP,CTCP Lâm Nông sản Thực phẩm Yên Bái,5200116441.0,,"375,710","517,969"
342,CAT,CTCP Thủy sản Cà Mau,2000105020.0,"Seaprimexco, USA. INC","753,300","821,129"
343,CAV,CTCP Dây Cáp điện Việt Nam,300381564.0,Công ty TNNH MTV CADIVI Đồng Nai,"10,578,973","10,479,096"
344,CBI,CTCP Gang thép Cao Bằng,4800162247.0,,"2,153,516","2,892,447"
345,CBS,CTCP Mía Đường Cao Bằng,4800104012.0,,"243,753","240,567"
346,CC1,Tổng Công ty Xây dựng Số 1 - CTCP,301429113.0,"Công ty TNHH Xây dựng và Kinh doanh BĐS CC1 Miền Bắc, CTCP Đầu tư Đường ven biển Hải Phòng, Công ty TNHH Bê tông Đúc sẵn Vina PSMC, CTCP Đầu tư và Xây dựng Cầu Đồng Nai, CTCP Xây dựng Số Một - Việt Nguyên, CTCP Xây dựng Số Một - Việt Quang, CTCP Đầu tư Xây dựng Số 1 Mê Kông, CTCP Xây dựng Số Một - Việt Hưng, CTCP Đầu tư Nhân Phúc Đức, CTCP Chương Dương, CTCP Xây dựng và Khai thác Vật liệu Xây dựng Miền Trung, CTCP Xây dựng và Kinh doanh Nhà Cửu Long, CTCP Xây dựng Số Một - Việt Tổng","6,845,439","5,664,069"
347,CC4,CTCP Đầu tư và Xây dựng Số 4,100105574.0,"CTCP IKCONS, CTCP Đầu tư và Xây dựng số 4.2, CTCP Đầu tư và Xây dựng số 4 - Vạn Xuân","283,539","163,612"
348,CCA,CTCP Xuất nhập khẩu Thuỷ sản Cần Thơ,1800632306.0,,"653,042","946,687"
349,CCI,CTCP Đầu tư Phát triển Công nghiệp Thương mại Củ Chi,302704764.0,"CTCP Chế biến Thực Phẩm Hóc Môn, CTCP Xây dựng Phát triển Tây Bắc","290,363","299,155"
350,CCL,CTCP Đầu Tư và Phát triển Đô Thị Dầu khí Cửu Long,2202280598.0,Công ty TNHH Bán buôn Thủy sản Đại Phú Xuân,"880,709","974,002"
351,CCM,CTCP khoáng sản và Xi măng Cần Thơ,1800553319.0,"Công ty TNHH Xi măng Cần Thơ - Hậu Giang, CTCP Bất động sản Cantcimex, CTCP Khoáng sản Lộc Tài Nguyên","1,131,673","944,279"
352,CCP,CTCP Cảng Cửa Cấm Hải Phòng,200576055.0,,"112,217","65,721"
353,CCR,CTCP Cảng Cam Ranh,4200272350.0,CTCP Dịch vụ Hàng Hải Cảng Cam Ranh,"138,417","194,944"
354,CCT,CTCP Cảng Cần Thơ,1801319907.0,Công ty TNHH Cảng Cần Thơ - Thanh Tuấn,"112,565","121,946"
355,CCV,CTCP Tư vấn Xây dựng Công nghiệp và Đô thị Việt Nam,100106183.0,"CTCP Tư vấn Xây dựng VCC Hà Nội, CTCP Tư vấn Đầu tư Xây dựng VCC Việt Nam","159,424","121,786"
356,CDC,CTCP Chương Dương,700212754.0,"Công ty TNHH Thương mại Chương Dương, Công ty TNHH Kết cấu thép Chương Dương, Công ty TNHH Quản lý Nhà Chương Dương - Serland, Công ty TNHH Tư vấn Đầu tư Xây dựng Chương Dương, Công ty TNHH Xây dựng Chương Dương Sài Gòn, CTCP Xây dựng Công trình 525, Công ty TNHH Xây dựng Chương Dương Số 1, CTCP Tháp Nam Việt","322,271","769,063"
357,CDG,CTCP Cầu Đuống,100104997.0,"CT CP Cầu Đuống Sông Hóa, CT CP Cầu Đuống Hải Phòng, Công ty TNHH Gốm xây dựng Bắc Cạn","31,382","22,791"
358,CDH,CTCP Công trình Công cộng và Dịch vụ Du lịch Hải Phòng,200534908.0,,"109,831","116,157"
359,CDN,CTCP Cảng Đà Nẵng,400101972.0,"CTCP Logistics Cảng Đà Nẵng, CTCP Tàu lai Cảng Đà Nẵng","904,396","1,078,889"
360,CDO,CTCP Tư vấn Thiết kế và Phát triển Đô thị,102963747.0,"CTCP Đại chúng Tư vấn thiết kế, CTCP lương thực Hồng Hà, CTCP Cung Xuân","10,525","5,669"
361,CDP,CTCP Dược phẩm Trung ương Codupha,300483319.0,"Công ty TNHH Dược phẩm Codupha Lào, Công ty TNHH Y tế Alfresa Codupha Việt Nam","2,957,141","2,450,389"
362,CDR,CTCP Xây dựng Cao su Đồng Nai,3600986703.0,"Công ty TNHH MTV Xây dựng Cao su An Lộc, Công ty TNHH Dokraco","139,439","139,502"
363,CE1,CTCP Xây dựng và Thiết bị Công nghiệp CIE1,2500303038.0,"Công ty TNHH Chế tạo máy và thiết bị công nghiệp CIE2, CTCP Tập đoàn Xây dựng và Thiết bị công nghệ, CTCP Máy và Thiết bị Công nghiệp1-5, CTCP Thương mại Kim Hoa, Viện Cơ điện tử MICIE, CTCP 3B","108,021","100,901"
364,CEG,CTCP Tập đoàn Xây dựng và Thiết bị Công nghiệp,100947309.0,"Viện cơ điện tử CIE, CTCP Xây dựng và thiết bị công nghiệp CIE1, CTCP Thương mại Kim Hoa, CTCP Cơ khí 1-5, Công ty cổ phần 3B","148,085","122,397"
365,CEN,CTCP CENCON Việt Nam,107268056.0,CTCP Dược liệu quý hiếm và Thiết bị y tế Hà Giang,"76,058","111,444"
366,CEO,CTCP Tập đoàn C.E.O,101183550.0,"Công ty TNHH C.E.O Quốc tế (CEO Quốc tế), Trường cao đẳng Đại Việt, Công ty TNHH C.E.O Hospitality, Công ty TNHH MTV Tư vấn Thiết kế CEO, CTCP Đầu tư và Phát triển Nha Trang, CTCP Đầu tư và Phát triển Nam Cần Thơ, CTCP Phát triển Quảng Bình (CEO Quảng Bình), CTCP Đầu tư và Phát triển Du lịch Vân Đồn, CTCP Đầu tư và Phát triển Phú Quốc (CEO Phú Quốc), CTCP Phát triển Nhà và Đô thị Phú Quốc, CTCP Phát triển Dịch vụ C.E.O (CEO Dịch vụ), CTCP Xây dựng C.E.O (CEO Xây dựng), CTCP Du lịch C.E.O (C.E.O Travel), CTCP Đầu tư BMC-CEO","1,323,835","901,811"
367,CFV,CTCP Cà phê Thắng Lợi,6000182456.0,,"247,694","351,976"
368,CGV,CTCP Vinaceglass,301446937.0,"CTCP Thương mại Bia Hà Nội - Hưng Yên 89, CTCP Đầu tư & Phát triển Miền Trung","71,918","17,916"
369,CH5,CTCP Xây dựng Số 5 Hà Nội,100105493.0,,"142,648","81,918"
370,CHC,CTCP Cẩm Hà,4000101407.0,,"312,470","379,643"
371,CHP,CTCP Thủy điện Miền Trung,400477830.0,CTCP Thủy Điện Miền Trung,"830,525","787,447"
372,CHS,CTCP Chiếu sáng Công cộng Thành phố Hồ Chí Minh,300423479.0,,"438,068","437,068"
373,CI5,CTCP Đầu Tư Xây dựng Số 5,302156370.0,,"144,059","76,842"
374,CIA,CTCP Dịch vụ Sân bay Quốc tế Cam Ranh,4200810665.0,"Công ty TNHH Nhà ga Hàng hóa Cam Ranh, Công ty TNHH Dịch vụ Mặt đất Hàng không, CTCP Miễn thuế Của khẩu Quốc tế IDF, CTCP Du lịch và Dịch vụ Hàng không Hà Nội","100,645","41,595"
375,CID,CTCP Xây dựng và Phát triển Cơ sở Hạ tầng,200352802.0,,"4,357","4,540"
376,CIG,CTCP COMA 18,500236860.0,"CTCP Đầu tư Khu Công nghiệp Kinh Đô, CTCP Thủy điện Hùng Lợi Yên Sơn","25,610","29,584"
377,CII,CTCP Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh,302483177.0,"CTCP Đầu tư và Xây dựng Cầu đường Bình Triệu, CTCP Đầu tư Hạ tầng Kỹ thuật Vinaphil, CTCP xây dựng Hạ tầng CII, CTCP Đầu tư Năm Bảy Bảy, CTCP Đầu tư và Xây dựng Xa Lộ Hà Nội","5,374,092","2,860,034"
378,CIP,CTCP Xây lắp và Sản xuất Công nghiệp,101058736.0,"CTCP Bao bì Sông Công, CTCP Bê tông ly tâm VINAINCON, CTCP xây lắp và sản xuất công nghiệp Đức Giang","121,503","184,357"
379,D11,CTCP Địa ốc 11,300540937.0,CT TNHH BĐS Đại Hưng Phú,"188,227","298,506"
380,D2D,CTCP Phát triển Đô thị Công nghiệp số 2,3600259560.0,Công ty TNHH Berjaya D2D,"357,303","472,312"
381,DAC,CTCP 382 Đông Anh,101412313.0,,"46,708","36,490"
382,DAD,CTCP Đầu tư và Phát triển Giáo dục Đà Nẵng,400568767.0,"CTCP Sách & TB Bình Định, CTCP In và Dịch vụ Đà Nẵng","191,346","261,631"
383,DAE,CTCP Sách Giáo dục tại Thành phố Đà Nẵng,400463362.0,"CTCP Dịch vụ Xuất bản Giáo dục tại Đà Nẵng, CTCP In & Dịch vụ Quảng Nam, CTCP Đầu tư xuất bản - Thiết bị giáo dục Việt Nam, CTCP Sách thiết bị trường học Tp.HCM, CTCP Bản đồ - Tranh ảnh Giáo dục","52,231","58,115"
384,DAG,CTCP Tập đoàn Nhựa Đông Á,101099228.0,"Công ty TNHH Nhựa Đông Á, Công ty TNHH Smart Window Việt Nam, Công ty TNHH MTV Nhựa Đông Á","1,756,946","1,953,961"
385,DAN,CTCP Dược Danapha,400102091.0,,"390,714","452,438"
386,DAS,CTCP Máy - Thiết bị Dầu khí Đà Nẵng,400101669.0,CT TNHH Quản lý quỹ đầu tư chứng khoán Đông Á,"418,068","394,706"
387,DAT,CTCP Đầu tư du lịch và Phát triển Thủy sản,5203000095.0,CTCP Đầu tư và Phát triển đa quốc gia - IDI,"2,159,885","2,259,972"
388,DBC,CTCP Tập đoàn Dabaco Việt Nam,2300105790.0,"Công ty TNHH MTV Lợn giống Lạc Vệ, Công ty TNHH Lợn giống Hải Phòng, Công ty TNHH Lợn giống Dabaco Lương Tài, Công ty TNHH Nông nghiệp Công nghệ cao Dabaco, Công ty TNHH Dịch vụ Thương mại Bắc Ninh, Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco, Công ty TNHH Du lịch và Khách sạn L’Indochina, Công ty TNHH Phân bón hữu cơ Việt Nhật, Công ty TNHH Dầu thực vật Dabaco, Công ty TNHH Dabaco Bình Phước, Công ty TNHH Dabaco Hòa Bình, Công ty TNHH Dabaco Tuyên Quang, Công ty TNHH Thức ăn chăn nuôi Nasaco Hà Nam, Công ty TNHH Lợn giống Phú Thọ, Công ty TNHH Nutreco, Công ty TNHH MTV Thương mại Hiệp Quang, Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công, Công ty TNHH Đầu tư Phát triển Chăn nuôi Lợn Dabaco, Công ty TNHH MTV Gà giống Dabaco, CTCP Transeco, CTCP Dabaco Quảng Ninh, CTCP Chế biến thực phẩm DABACO, Công ty TNHH Dabaco Thanh Hóa, Công ty TNHH Lợn giống Dabaco Hà Nam","10,021,584","10,812,795"
389,DBD,CTCP Dược - Trang thiết bị Y tế Bình Định (BIDIPHAR),4100259564.0,"Công ty TNHH MTV Thương mại Bidiphar, Công ty Cổ phần Cao su Bidiphar","1,256,952","1,558,504"
390,DBM,CTCP Dược - Vật tư Y Tế Đăk Lăk,6000449389.0,,"248,510","294,174"
391,DBT,CTCP Dược phẩm Bến Tre,1300382591.0,,"836,410","612,049"
392,DBW,CTCP Cấp nước Điện Biên,5600100728.0,,"58,428","59,633"
393,DC1,CTCP Đầu tư Phát triển Xây dựng Số 1,3500613828.0,,"284,996","95,561"
394,DC2,CTCP Đầu tư - Phát triển - Xây dựng (DIC) Số 2,3500707730.0,CTCP ĐT PT - Xây Dựng (DIC) Số 2,"283,270","322,560"
395,DC4,CTCP Xây dựng DIC Holdings,3500686978.0,"Công ty TNHH MTV Vinawindow, CTCP Vật liệu Xây dựng DIC (DIC Vật liệu)","466,063","614,226"
396,DCF,CTCP Xây dựng và Thiết kế Số 1,301248798.0,"Công ty TNHH MTV Xây dựng và Kết cấu thép Hưng Phú, Công ty TNHH MTV Xây dựng DECOFI - Hoàng Ân","70,646","63,108"
397,DCG,CTCP Tổng Công ty May Đáp Cầu,2300102398.0,"CTCP Đáp Cầu - Yên Phong, CTCP Đáp Cầu - Lục Ngạn, CTCP Đáp Cầu Gia Khánh","590,862","674,662"
398,DCH,CTCP Địa chính Hà Nội,100102446.0,,"16,506","10,831"
399,DCL,CTCP Dược phẩm Cửu Long,1500202535.0,"Công ty TNHH MTV Dược Phẩm VPC - Sài Gòn, CTCP Dược phẩm Benovas, CTCP Thiết bị Y tế Benovas, CTCP Thuốc Ung thư Benovas, Công ty Liên doanh sản xuất kinh doanh XNK Dược phẩm & Trang thiết bị Y tế","671,246","703,634"
400,DCM,CTCP Phân bón Dầu khí Cà Mau,2001012298.0,CTCP Bao Bì Dầu Khí Việt Nam,"7,561,275","9,869,763"
401,DCR,CTCP Gạch men Cosevco,400347937.0,,"186,617","192,485"
402,DCS,CTCP Tập đoàn Đại Châu,101030402.0,"CTCP Xuân Minh SD Thanh Hóa, Công ty TNHH TM XNK Đại Châu","30,607","34,350"
403,DCT,CTCP Tấm lợp Vật liệu Xây dựng Đồng Nai,3600475018.0,CTCP Tấm Lợp VLXD Đồng Nai,"244,243","187,337"
404,DDG,CTCP Đầu tư Công nghiệp Xuất nhập khẩu Đông Dương,310103090.0,"Công ty TNHH Blue Globe, CTCP CL","452,014","751,081"
405,DDH,CTCP Đảm bảo Giao thông Đường thủy Hải Phòng,200149102.0,CTCP Xây dựng Giao thông Phú Cường,"68,941","42,178"
406,DDM,CTCP Hàng Hải Đông Đô,100105253.0,"Công ty TNHH Sữa chữa Tàu biển Vinalines - Đông Đô (VDS), CTCP Vận tải Container Đông Đô - Cảng Hải Phòng ( DHP Lines), CTCP Cung ứng Thuyền viên Đông Đô","204,323","327,998"
407,DDN,CTCP Dược và Thiết bị Y tế Đà Nẵng,400101404.0,,"1,554,801","1,546,299"
408,DDV,CTCP DAP - VINACHEM,200827051.0,,"1,886,313","2,877,892"
409,DFC,CTCP Xích líp Đông Anh,100100696.0,,"1,052,052","1,072,082"
410,DGC,CTCP Tập đoàn Hóa chất Đức Giang,101452588.0,"Công ty TNHH MTV Hóa chất Đức Giang- Nghi Sơn, Công ty TNHH MTV Hóa chất Đức Giang - Lào Cai, Công ty TNHH MTV Apatit Đức Giang, Công ty TNHH MTV Hóa Chất Đức Giang - Đình Vũ, CTCP Phốt pho Apatit Việt Nam (PAC)","3,634,378","9,550,386"
411,DGT,CTCP Công trình Giao thông Đồng Nai,3600259916.0,,"690,476","499,384"
412,DGW,CTCP Thế Giới Số,302861742.0,"Công ty TNHH MTV Digiworld Venture, Công ty TNHH MTV 1 Digital Technology, CTCP B2X Care Solutions Việt Nam, CTCP Dịch vụ phát triển thị trường C.L, Công ty TNHH CSV Healthcare, CTCP Thương mại và sản xuất Bellvina, CTCP Tập đoàn B2X, CTCP Dược Phẩm Đại Tín, CTCP Việt Money","12,535,638","20,922,813"
413,DHA,CTCP Hóa An,3600464464.0,CTCP Cơ khí xây dựng Tân Định- FICO,"382,489","337,423"
414,DHB,CTCP Phân đạm và Hóa chất Hà Bắc,2400120344.0,"CTCP Hóa chất Hưng Phát Ha Bắc, CTCP Khí Hóa lỏng Hà Bắc, CTCP Xuất nhập khẩu Phân bón Bắc Giang","2,790,090","4,498,582"
415,DHC,CTCP Đông Hải Bến Tre,1300358260.0,"Công ty TNHH MTV Bao Bì Bến Tre, CTCP Tân Cảng Giao Long","2,887,571","4,164,331"
416,DHD,CTCP Dược Vật tư Y tế Hải Dương,800011018.0,,"640,695","620,188"
417,DHG,CTCP Dược Hậu Giang,1800156801.0,Công ty TNHH Fuji Medic,"3,755,619","4,003,170"
418,DHM,CTCP Thương mại và Khai thác Khoáng sản Dương Hiếu,4600341471.0,"CTCP Khai khoáng Luyện kim Bắc Việt, CTCP Công nghệ Thương mại và Đầu tư Hưng Phát","908,187","1,396,170"
419,DHN,CTCP Dược phẩm Hà Nội,101337659.0,,"74,669","80,516"
420,DHP,CTCP Điện cơ Hải Phòng,200580118.0,CTCP Điện cơ Phong Lan,"266,525","261,825"
421,DHT,CTCP Dược phẩm Hà Tây,500391400.0,"CTCP Dược và Thiết bị y tế Hà Tây, CTCP Dược phẩm Công nghệ cao Hataphar Healthcare Việt Nam, Công ty TNHH Hataphar Miền Nam, Trường Cao đẳng Kỹ Thuật Y Dược Hà Nội","2,006,475","1,609,364"
422,DIC,CTCP Đầu tư và Thương mại DIC,302979487.0,"Chi nhánh Công ty DIC - INTRACO (Nhà máy sản xuất clinker), Xí nghiệp sản xuất ngói màu Dic-Secoin, Chi nhánh CTCP Đầu tư và Thương mại DIC, CTCP DIC Energy, CTCP Thương mại Vận tải Minh Phong, CTCP Thương mại Thép Minh Tân","1,086,710","1,400,111"
423,DID,CTCP DIC - Đồng Tiến,3600692809.0,CTCP Xây dựng Đồng Phúc Tiến,"247,384","245,270"
