STT,Tên HO,Ngành nghề,Địa chỉ HO,MST,TTP,MCK,url
112,Công ty cổ phần thương mại công nghệ thông tin di động,,"Số 20 Ngọc Hà, Phường Đội Cấn, Quận Ba Đình, Hà Nội",0105840140,Hà Nội,,
113,Công ty TNHH truyền thông ALPHA,,"Số 231 Hồng Hà, Phường Phúc Tân, Quận Hoàn Kiếm, Hà Nội",0106883394,Hà Nội,,
114,Công ty Cổ phần Công nghệ Bình Minh,,Số 328 Lạc Trung - - Quận Hai Bà Trưng - Hà Nội,0106837990,Hà Nội,,
115,Công ty TNHH Yamaha Motor Việt Nam,,"Thôn Bình An, Xã Trung Giã, Huyện Sóc Sơn, Hà Nội",0100774342,Hà Nội,,
116,VPĐD Công ty VNPT GLOBAL HK Limited,,"Phòng 605 tầng 6, tòa nhà Thăng Long Ford, 105 láng Hạ, Hà Nội",0104796139,Hà Nội,,
117,Công ty cổ phần đầu tư và phát triển dịch vụ hạ tầng viễn thông,,"Tầng 2, tòa nhà X2, 70 Nguyên Hồng, Phường Láng Hạ, Quận Đống đa, Hà Nội",0102286252,Hà Nội,,
118,Công ty Cổ phần Tư vấn Đầu tư phát triển Hạ Tầng Viễn Thông (IFC),,"Tòa nhà Elcom Building, Ngõ 15, P Dịch vọng hậu, cầu giáy hà nội",0101569346,Hà Nội,,
119,Công ty TNHH Connet Việt Nam,,"Tầng 6 tòa nhà MD Complex (Tòa VP), số 68 Nguyễn Cơ Thạch, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội",0108601863,Hà Nội,,
120,Công ty TNHH Hoya Glass Disk Việt Nam,,"Khu J-3&4, khu công nghiệp Thăng Long, Xã Võng La, Huyện Đông Anh, Hà Nội",0101579263,Hà Nội,,
121,Công ty cổ phần Phát triển Dịch vụ Học tập và Giải trí trực tuyến,,"Nhà D7, lô A/D6, đường Nguyễn Phong Sắc kéo dài, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",0101848406,Hà Nội,,
122,Công ty cho thuê tài chính TNHH BIDV-Sumi Trust,,"Tầng 20, tháp A Vincom 191 Bà Triệu, Hai Bà Trưng, Hà Nội",0100777569,Hà Nội,,
123,Công ty Cổ Phần BKAV,,"Tâng 2, tòa nhà hh1 khu đô thị yên hòa, P yên hòa, cầu giấy, hà nội",0101360697,Hà Nội,,
124,Công ty Cổ phần công nghệ công nghiệp bưu chính viễn thông,,"Khu công nghiệp công nghệ cao I, KCN cao Hòa Lạc, , Huyện Thạch Thất, Hà Nội",0105140413,Hà Nội,,
125,Công ty TNHH một thành viên Phần mềm iNet,,"Số 247 Cầu Giấy, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",0108815544,Hà Nội,,
126,Công ty CP Phần mềm diệt Virus Bkav,,"Tầng 4, Tòa nhà HH1, Khu đô thị Yên Hòa, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",0108431266,Hà Nội,,
127,Công ty cổ phần giải pháp IDS Việt nam,,"P1703 số 169 Nguyễn Ngọc Vũ, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",0108064513,Hà Nội,,
128,Công ty cổ phần Hồng Lam,,"Khu Công nghiệp Quang Minh, Thị Trấn Chi Đông, Huyện Mê Linh, Hà Nội",2500258674,Hà Nội,,
129,Công ty cổ phần công nghệ và giải pháp trực tuyến IDC,,"Số 23, ngách 345/69/11, ngõ 345, Khương Trung, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",0105365015,Hà Nội,,
130,Công ty TNHH truyền hình số vệ tinh Việt Nam,," Tầng 15,tháp A,Handi Resco, 521 Kim Mã, , Quận Ba Đình, Hà Nội",0104828729,Hà Nội,,
131,Công ty TNHH Cung cấp Giải pháp Dịch vụ Giá trị gia tăng,,"Số 124 đường Hoàng Quốc Việt, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội",0105416171,Hà Nội,,
132,Công ty Cổ phần Thương mại và Truyền thông HTC,,"Số  25a, ngõ  179/64 phố Vĩnh Hưng, quận hoàng mai, hà nội",0103835339,Hà Nội,,
133,Công ty cổ phần giải pháp thanh toán Việt Nam,,"Phòng 804A, Số 22, phố Láng Hạ, Phường Láng Hạ, Quận Đống đa, Hà Nội",0106787316,Hà Nội,,
134,Công ty cổ phần đầu tư kỹ thuật BERJAYA Gia Thịnh,,"Tầng 17, tòa nhà Lim 2, 62A Cách mạng tháng tám, phường 6, quận 3, thành phố Hồ Chí Minh, Việt nam",0311715794,TP Hồ Chí Minh,,
135,"SAMSUNG SDS CO.,LTD",,"KCN Yên Bình, Phường Đồng Tiến, Thị xã Phổ Yên, Thái Nguyên",4601263113,Hà Nội,,
136,Công ty TNHH Funing Precision Component,,"KCN Quế Võ, xã Vân Dương, , Thành phố Bắc Ninh, Bắc Ninh",2300329871,Bắc Ninh,,
137,Công ty Cổ phần thanh toán trực tuyến Vpay,,"Số nhà 29, đường trần phú, P Điện Biên, Thành phố Thanh Hóa, Tỉnh Thanh Hóa",2802529137,Thanh Hóa,,
138,Công ty Cổ Phần Hoàng Phát Hưng,,"167/25 Đường D1, Phường 25, Quận Bình Thạnh, Hồ Chí Minh",0309133541,TP Hồ Chí Minh,,
139,Công ty Ô tô Toyota Việt Nam,," Phường Phúc Thắng, Thành phố Phúc Yên, Vĩnh Phúc",2500150335,Vĩnh Phúc,,
140,Công ty TNHH Ford Việt Nam,,"Phường Tứ Minh, Thành phố Hải Dương, Hải Dương",0801002376,Hải Dương,,
141,Công Ty TNHH Thương Mại và Dược Phẩm Sang,,"Tầng 3, số 61 cao thắng, P03- Quận 3, Hồ Chí Minh",0310631333,TP Hồ Chí Minh,,
142,Công ty TNHH LG ELECTRONICS Việt Nam Hải Phòng,,"Lô CN2, khu công nghiệp Tràng Duệ, Xã Lê Lợi, Huyện An Dương, Hải Phòng",0201311397,Hải Phòng,,
143,Công ty Cổ phần Thanh toán Quốc gia Việt Nam - NAPAS,,"Tầng 16, tầng 17 và tầng 18 tòa nhà Pacific Place, 83B phố Lý Thường Kiệt, Hoàn Kiếm, Hà Nội.",0101517122,Hà Nội,,
144,Công ty TNHH MTV Xổ số điện toán Việt Nam - Vietlott,,"Tầng 15, Tòa nhà CornerStone, 16 Phan Chu Trinh, Quận Hoàn Kiếm, Hà Nội",0105993965,Hà Nội,,
145,Tập đoàn Tân Á Đại Thành,,"124 P. Tôn Đức Thắng, Quốc Tử Giám, Đống Đa, Hà Nội",1100797006,Hà Nội,,
146,Công ty cổ phần phát triển nhà Phúc Đồng,,"Lô H2 - TM1 và H2 - TM2 chung cư Hope Residences, Phường Phúc Đồng, Quận Long Biên, Thành phố Hà Nội",0107740744,Hà Nội,,
147,Tổng Công ty Công Nghiệp Tàu Thủy ,,Số 172 Ngọc Khánh - Phường Giảng Võ - Quận Ba Đình - Hà Nội.,0100113303,Hà Nội,,
148,CÔNG TY CP VẬN HÀNH VÀ BẢO TRÌ ĐƯỜNG CAO TỐC VIỆT NAM,,"Tầng 8, toà nhà Nam Cường, Km 4 đường Tố Hữu - Phường La Khê - Quận Hà Đông - Hà Nội.",0104403010,Hà Nội,,
149,Công ty Cổ phần Dịch vụ Thương mại Tổng hợp WinCommerce,,"Tầng 5,Mplaza SaiGon, số 39 Lê Duẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",0104918404,Hà Nội,,
