,Company,CEO,MST,NGANH_NGHE,Type,doanh_thu_2020,doanh_thu_2021,tinh
18,CÔNG TY CP HÀNG TIÊU DÙNG MASAN (MASAN CONSUMER),Trương Công Thắng,0302017440,"Sản xuất, chế biến và kinh doanh thực phẩm khác",1,"23,342,734","27,773,635",TP Hồ Chí Minh
19,CÔNG TY CP HÀNG KHÔNG VIETJET,Nguyễn Thị Phương Thảo,0102325399,Vận tải hàng không,1,"18,220,293","12,874,920",Hà Nội
20,NGÂN HÀNG TMCP QUỐC TẾ VIỆT NAM,Hàn Ngọc Vũ,0100233488,Ngân hàng,1,"3,515,891","3,699,595",TP Hồ Chí Minh
21,CÔNG TY CP TẬP ĐOÀN HÒA BÌNH MINH,Bùi Minh Lực,5200896375,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",1,,,Yên Bái
22,CÔNG TY TNHH ỐNG THÉP HÒA PHÁT,Nguyễn Mạnh Tuấn,0100598873,"Sản xuất, gia công kim loại, sắt thép, kim khí…",1,,,Hà Nội
23,NGÂN HÀNG TMCP BƯU ĐIỆN LIÊN VIỆT,Phạm Doãn Sơn,6300048638,Ngân hàng,1,"6,720,171","9,017,159",Hà Nội
24,CÔNG TY CP TẬP ĐOÀN FLC,Hương Trần Kiều Dung,0102683813,Kinh doanh bất động sản,1,"13,488,401","6,771,892",Hà Nội
25,CÔNG TY CP TẬP ĐOÀN GELEX,Nguyễn Văn Tuấn,0100100512,"Sản xuất, kinh doanh thiết bị điện",1,"17,948,713","28,578,399",Hà Nội
26,NGÂN HÀNG TMCP TIÊN PHONG,Nguyễn Hưng,0102744865,Ngân hàng,1,"7,619,057","9,946,049",
27,CÔNG TY TÀI CHÍNH TNHH NGÂN HÀNG VIỆT NAM THỊNH VƯỢNG SMBC,Kalidas Ghose,0102180545,Dịch vụ tài chính khác,1,,,TP Hồ Chí Minh
28,CÔNG TY CP STAVIAN HÓA CHẤT,Nguyễn Minh Tú,0104160054,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",1,,,Hưng Yên
29,CÔNG TY CP VÀNG BẠC ĐÁ QUÝ PHÚ NHUẬN,Lê Trí Thông,0300521758,"Bán lẻ vàng, bạc và kim loại quý khác",1,"17,510,789","19,547,058",TP Hồ Chí Minh
30,CÔNG TY CP GIẢI PHÁP THANH TOÁN VIỆT NAM,Lê Tánh,0102182292,Viễn thông,1,,,Hà Nội
31,CÔNG TY CP MASAN MEATLIFE,Phạm Trung Lâm,0311224517,Dịch vụ khác,1,"16,119,005","18,890,888",TP Hồ Chí Minh
32,CÔNG TY CP TẬP ĐOÀN THÉP NGUYỄN MINH,Nguyễn Minh Huy,1101359647,"Sản xuất, gia công kim loại, sắt thép, kim khí…",1,,,Long An
33,CÔNG TY CP TẬP ĐOÀN VAS NGHI SƠN,Nguyễn Bảo Giang,2801115888,"Sản xuất, gia công kim loại, sắt thép, kim khí…",1,,,Thanh Hoá
34,CÔNG TY CP DỊCH VỤ TỔNG HỢP SÀI GÒN,Phan Dương Cửu Long,0301154821,Kinh doanh bất động sản,1,,,Thái Bình
35,CÔNG TY CP ĐẦU TƯ THƯƠNG MẠI SMC,Nguyễn Thị Ngọc Loan,0303522206,"Kinh doanh kim loại, sắt thép, kim khí…",1,"15,734,958","21,315,015",TP Hồ Chí Minh
36,CÔNG TY CP THÀNH THÀNH CÔNG - BIÊN HÒA,Ông Nguyễn Thanh Ngữ,3900244389,"Sản xuất, chế biến và kinh doanh đường",1,"14,924,868","18,325,361",Tây Ninh
37,CÔNG TY CP HYUNDAI THÀNH CÔNG VIỆT NAM,Trần Hữu Phú,2700668614,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",1,,,Ninh Bình
38,CÔNG TY CP DƯỢC LIỆU TRUNG ƯƠNG 2,Nguyễn Công Chiến,0302597576,"Kinh doanh, phân phối dược phẩm, thiết bị y tế",1,,,TP Hồ Chí Minh
39,CÔNG TY CP BÁN LẺ KỸ THUẬT SỐ FPT,Hoàng Trung Kiên,0311609355,"Bán lẻ điện tử, điện lạnh, viễn thông, công nghệ thông tin",1,"14,661,417","22,494,961",TP Hồ Chí Minh
40,CÔNG TY CP XÂY DỰNG COTECCONS,N.A,0303443233,Xây dựng,1,"14,558,086","9,077,915",Điện Biên
41,CÔNG TY TNHH HẢI LINH,Lê Văn Tám,2600261303,Kinh doanh xăng dầu và các sản phẩm liên quan,1,,,Phú Thọ
42,CÔNG TY CP TẬP ĐOÀN THỦY SẢN MINH PHÚ,Lê Văn Quang,2000393273,"Sản xuất, chế biến và kinh doanh thực phẩm tươi sống, đông lạnh",1,"14,329,350","13,577,505",Cà Mau
43,NGÂN HÀNG TMCP PHƯƠNG ĐÔNG,Nguyễn Đình Tùng,0300852005,Ngân hàng,1,"1,670,025","1,701,758",TP Hồ Chí Minh
44,TỔNG CÔNG TY CP DỊCH VỤ TỔNG HỢP DẦU KHÍ,Vũ Tiến Dương,0300452060,"Bán lẻ điện tử, điện lạnh, viễn thông, công nghệ thông tin",1,"13,453,249","17,598,238",TP Hồ Chí Minh
45,NGÂN HÀNG TMCP HÀNG HẢI VIỆT NAM,Nguyễn Hoàng Linh,0200124891,Ngân hàng,1,"4,822,389","6,216,244",Hà Nội
46,CÔNG TY CP TẬP ĐOÀN SAO MAI,Lê Thanh Thuấn,1600169024,Kinh doanh bất động sản,1,"12,524,614","11,397,926",An Giang
47,CÔNG TY CP THẾ GIỚI SỐ,Đoàn Hồng Việt,0302861742,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",1,"12,535,638","20,922,813",Thái Bình
48,NGÂN HÀNG TMCP ĐÔNG NAM Á,Lê Văn Tần,0200253985,Ngân hàng,1,"3,061,716","5,186,093",Hà Nội
49,NGÂN HÀNG TMCP XUẤT NHẬP KHẨU VIỆT NAM,Nguyễn Quốc Hương,0301179079,Ngân hàng,1,"3,313,736","3,524,302",TP Hồ Chí Minh
