39,CÔNG TY CP DƯỢC LIỆU TRUNG ƯƠNG 2,Nguyễn Công Chiến,0302597576,"Kinh doanh, phân phối dược phẩm, thiết bị y tế"
40,CÔNG TY CP BÁN LẺ KỸ THUẬT SỐ FPT,Hoàng Trung Kiên,0311609355,"Bán lẻ điện tử, điện lạnh, viễn thông, công nghệ thông tin"
41,CÔNG TY CP XÂY DỰNG COTECCONS,N.A,0303443233,Xây dựng
42,CÔNG TY TNHH HẢI LINH,Lê Văn Tám,2600261303,Kinh doanh xăng dầu và các sản phẩm liên quan
43,CÔNG TY CP TẬP ĐOÀN THỦY SẢN MINH PHÚ,Lê Văn Quang,2000393273,"Sản xuất, chế biến và kinh doanh thực phẩm tươi sống, đông lạnh"
44,NGÂN HÀNG TMCP PHƯƠNG ĐÔNG,Nguyễn Đình Tùng,0300852005,Ngân hàng
45,TỔNG CÔNG TY CP DỊCH VỤ TỔNG HỢP DẦU KHÍ,Vũ Tiến Dương,0300452060,"Bán lẻ điện tử, điện lạnh, viễn thông, công nghệ thông tin"
46,NGÂN HÀNG TMCP HÀNG HẢI VIỆT NAM,Nguyễn Hoàng Linh,0200124891,Ngân hàng
47,CÔNG TY CP TẬP ĐOÀN SAO MAI,Lê Thanh Thuấn,1600169024,Kinh doanh bất động sản
48,CÔNG TY CP THẾ GIỚI SỐ,Đoàn Hồng Việt,0302861742,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…"
49,NGÂN HÀNG TMCP ĐÔNG NAM Á,Lê Văn Tần,0200253985,Ngân hàng
50,NGÂN HÀNG TMCP XUẤT NHẬP KHẨU VIỆT NAM,Nguyễn Quốc Hương,0301179079,Ngân hàng
51,CÔNG TY CP THƯƠNG MẠI THÁI HƯNG,Nguyễn Thị Vinh,4600310787,"Khai thác, chế biến, kinh doanh quặng kim loại và hoạt động hỗ trợ"
52,CÔNG TY TNHH THƯƠNG MẠI VÀ DƯỢC PHẨM SANG,Lê Quỳnh Liên,0310631333,"Kinh doanh, phân phối dược phẩm, thiết bị y tế"
53,CÔNG TY CP TÔN ĐÔNG Á,Nguyễn Thanh Trung,3700255880,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác"
54,CÔNG TY CP VIỄN THÔNG FPT,Hoàng Việt Anh,0101778163,Viễn thông
55,CÔNG TY CP TẬP ĐOÀN ĐẦU TƯ ĐỊA ỐC NO VA,Nguyễn ngọc Huyên,0301444753,Kinh doanh bất động sản
56,CÔNG TY CP THÉP NAM KIM,Võ Hoàng Vũ,3700477019,"Sản xuất, gia công kim loại, sắt thép, kim khí…"
57,CÔNG TY CP TẬP ĐOÀN XÂY DỰNG HÒA BÌNH,Lê Viết Hiếu,0302158498,Xây dựng
58,CÔNG TY CP DÂY CÁP ĐIỆN VIỆT NAM,Lê Quang Định,0300381564,"Sản xuất, kinh doanh thiết bị điện"
59,CÔNG TY CP TẬP ĐOÀN T&T,Đỗ Quang Hiển,0100233223,Dịch vụ tài chính khác
60,CÔNG TY CP TẬP ĐOÀN DABACO VIỆT NAM,Nguyễn Khắc Thảo,2300105790,"Sản xuất, kinh doanh thức ăn chăn nuôi"
61,NGÂN HÀNG TMCP BẮC Á,Thái Hương,2900325526,Ngân hàng
62,CÔNG TY CP THÉP POMINA,Đỗ Văn Khánh,3700321364,"Sản xuất, gia công kim loại, sắt thép, kim khí…"
63,CÔNG TY CP PVI,Bùi Vạn Thuận,0100151161,Bảo hiểm
64,NGÂN HÀNG TMCP NAM Á,Trần Ngọc Tâm,0300872315,Ngân hàng
65,CÔNG TY TNHH TẬP ĐOÀN BIM,Đoàn Quốc Huy,5701942544,Kinh doanh bất động sản
66,CÔNG TY CP SẢN XUẤT THÉP VINA ONE,Huỳnh Nghĩa Thiện,1100549268,"Sản xuất, gia công kim loại, sắt thép, kim khí…"
67,TỔNG CÔNG TY VIGLACERA - CTCP,Nguyễn Anh Tuấn,0100108173,"Sản xuất, kinh doanh vật liệu xây dựng"
68,CÔNG TY CP CẢNG RAU QUẢ,Đặng Như Bình,0302336158,"Kho bãi, bốc xếp hàng hóa"
69,CÔNG TY CP MASAN HIGH-TECH MATERIALS,Craig Richard Bradshaw,0309966889,Dịch vụ khác
70,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ PHÁT TIẾN,Hồ Minh Trí,0301049150,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện"
71,TỔNG CÔNG TY BẢO HIỂM PVI,Phạm Anh Đức,0105402531,Bảo hiểm
72,CÔNG TY CP TẬP ĐOÀN PAN,Nguyễn Trà My,0301472704,Hoạt động nông nghiệp khác
73,CÔNG TY CP THÉP TVP,Ninh Thị Bích Thùy,1100598716,"Sản xuất, gia công kim loại, sắt thép, kim khí…"
74,CÔNG TY CP TẬP ĐOÀN AN PHÁT HOLDINGS,Đinh Xuân Cường,0801210129,Dịch vụ tài chính khác
75,CÔNG TY CP VINCOM RETAIL,Trần Mai Hoa,0105850244,Kinh doanh bất động sản
76,TỔNG CÔNG TY CP XUẤT NHẬP KHẨU VÀ XÂY DỰNG VIỆT NAM,Nguyễn Xuân Đông,0100105616,Xây dựng
77,CÔNG TY CP TẬP ĐOÀN KIDO,Trần Lệ Nguyên,0302705302,"Sản xuất, chế biến và kinh doanh đường"
78,CÔNG TY CP MEDIAMART VIỆT NAM,Lê Quang Vũ,0102516308,"Bán lẻ điện tử, điện lạnh, viễn thông, công nghệ thông tin"
79,CÔNG TY TNHH HÀO HƯNG,Thang Văn Hóa,0301952517,Hoạt động công nghiệp khác
80,TẬP ĐOÀN GELEXIMCO - CTCP,Vũ Văn Tiền,0100514947,Kinh doanh bất động sản
81,CÔNG TY CP ĐẦU TƯ THÁI BÌNH,Nguyễn Đức Thuấn,3700148737,"Sản xuất, kinh doanh sản phẩm da giầy"
82,CÔNG TY CP DỊCH VỤ PHÂN PHỐI TỔNG HỢP DẦU KHÍ,Vũ Tiến Dương,0305482862,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…"
83,NGÂN HÀNG TMCP AN BÌNH,Lê Hải,0301412222,Ngân hàng
84,CÔNG TY TNHH DỊCH VỤ VÀ THƯƠNG MẠI MESA,Lưu Tuyết Mai,0100520429,"Sản xuất, kinh doanh đồ dùng gia đình"
85,CÔNG TY CP ĐẦU TƯ XÂY DỰNG RICONS,Trần Quang Quân,0303527596,Xây dựng
86,CÔNG TY CP TẬP ĐOÀN LỘC TRỜI,Nguyễn Duy Thuận,1600192619,Hoạt động nông nghiệp khác
87,CÔNG TY CP NHỰA AN PHÁT XANH,Đinh Xuân Cường,0800373586,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa"
88,CÔNG TY CP TỔNG CÔNG TY TÍN NGHĨA,Trần Trung Tuấn,3600283394,Kinh doanh bất động sản
