,Company,MST,NGANH_NGHE,doanh_thu_2021,tinh
190,CÔNG TY CP DỆT MAY - ĐẦU TƯ - THƯƠNG MẠI THÀNH CÔNG,0301446221,"Sản xuất, kinh doanh trang phục","3,535,416",TP Hồ Chí Minh
191,CÔNG TY CP GENTRACO,1800241743,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",,TP Hồ Chí Minh
192,TỔNG CÔNG TY MAY 10 - CTCP,0100101308,"Sản xuất, kinh doanh trang phục","3,467,349",Hà Nội
193,CÔNG TY CP TRANSIMEX,0301874259,Hoạt động khác hỗ trợ cho vận tải,"6,381,266",TP Hồ Chí Minh
194,CÔNG TY CP DỊCH VỤ & KỸ THUẬT CƠ ĐIỆN LẠNH R.E.E,0302660700,Hoạt động xây dựng khác,,TP Hồ Chí Minh
195,CÔNG TY TNHH THƯƠNG MẠI XUẤT NHẬP KHẨU VIỆT HÀN,0101325854,"Sản xuất, kinh doanh thiết bị điện",,Hà Nội
196,"CÔNG TY CP DỊCH VỤ LẮP ĐẶT, VẬN HÀNH VÀ BẢO DƯỠNG CÔNG TRÌNH DẦU KHÍ BIỂN PTSC",3500818790,Dịch vụ khác,"2,094,113",Bà Rịa - Vũng Tàu
197,CÔNG TY CP DƯỢC PHẨM THIẾT BỊ Y TẾ HÀ NỘI,0100109699,"Kinh doanh, phân phối dược phẩm, thiết bị y tế",,Hà Nội
198,CÔNG TY CP NHỰA CHÂU ÂU,0700253609,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,Hà Nam
199,CÔNG TY CP MASCOPEX,4200236666,"Sản xuất, chế biến và kinh doanh thực phẩm tươi sống, đông lạnh",,Khánh Hòa
200,CÔNG TY CP PHÁT HÀNH SÁCH TP. HỒ CHÍ MINH - FAHASA,0304132047,"Bán lẻ sách, báo, tạp chí, văn phòng phẩm","2,748,785",TP Hồ Chí Minh
201,CÔNG TY CỔ PHẦN TẬP ĐOÀN NOVA CONSUMER,0301447257,Nông nghiệp,,TP Hồ Chí Minh
202,CÔNG TY CP LEC GROUP,3502380495,Hoạt động khác hỗ trợ cho vận tải,,Bà Rịa - Vũng Tàu
203,CÔNG TY CP CHỨNG KHOÁN KỸ THƯƠNG,0102935813,Chứng khoán,,Hà Nội
204,CÔNG TY CP THƯƠNG MẠI HIỆP HƯƠNG,0100953567,"Khai thác, chế biến, kinh doanh quặng kim loại và hoạt động hỗ trợ",,Hà Nội
205,CÔNG TY CP VẬT TƯ HẬU GIANG,1800506679,"Sản xuất, kinh doanh vật liệu xây dựng","3,087,570",Cần Thơ
206,CÔNG TY TNHH THƯƠNG MẠI VÀ SẢN XUẤT TƯỜNG VIỆT,0302853607,"Sản xuất, kinh doanh thiết bị điện",,TP Hồ Chí Minh
207,CÔNG TY CP FECON,0101502599,Hoạt động xây dựng khác,"3,484,219",Hà Nội
208,CÔNG TY CP CÔNG NGHỆ ELITE,0303853575,Hoạt động thông tin khác,,TP Hồ Chí Minh
209,TỔNG CÔNG TY CP ĐẦU TƯ PHÁT TRIỂN XÂY DỰNG,3500101107,Kinh doanh bất động sản,"2,568,689",Bà Rịa - Vũng Tàu
210,CÔNG TY CP THÉP ASEAN,6000746180,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,Đắk Lắk
211,CÔNG TY CP UNIBEN,0301442989,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp",,Bình Dương
212,CÔNG TY TNHH THƯƠNG MẠI TỔNG HỢP TUẤN VIỆT,3100261120,"Sản xuất, chế biến và kinh doanh đường",,Quảng Bình
213,CÔNG TY CP NƯỚC - MÔI TRƯỜNG BÌNH DƯƠNG,3700145694,Hoạt động xây dựng khác,"3,118,867",Bình Dương
214,CÔNG TY TNHH PHÂN PHỐI TIÊN TIẾN,0303549039,"Sản xuất, kinh doanh đồ dùng gia đình",,TP Hồ Chí Minh
215,CÔNG TY TNHH PHÁT TÀI,1400105785,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",,Đồng Tháp
216,CÔNG TY CP DỊCH VỤ TRỰC TUYẾN CỘNG ĐỒNG VIỆT,0305458683,Ngân hàng,,TP Hồ Chí Minh
217,CÔNG TY CP TẬP ĐOÀN ĐẤT XANH,0303104343,Kinh doanh bất động sản,"10,089,385",TP Hồ Chí Minh
218,CÔNG TY CP THAIHOLDINGS,0105202998,"Thăm dò, khai thác dầu mỏ và hoạt động hỗ trợ","8,242,532",Hà Nội
219,CÔNG TY TNHH MTV THỰC PHẨM VÀ ĐẦU TƯ FOCOCEV,0400101588,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",,TP Hồ Chí Minh
220,CÔNG TY CP TẬP ĐOÀN ĐỨC TƯỜNG,1701884951,"Sản xuất, kinh doanh thiết bị điện",,Kiên Giang
221,CÔNG TY CP ĐẦU TƯ PHÁT TRIỂN CÔNG NGHIỆP VÀ VẬN TẢI,0300482393,Xây dựng,"3,111,846",TP Hồ Chí Minh
222,CÔNG TY CP ĐẦU TƯ NAM LONG,0301438936,Kinh doanh bất động sản,"5,205,519",TP Hồ Chí Minh
223,CÔNG TY CP KẾT CẤU THÉP ATAD,1100641143,Xây dựng,,Long An
224,CÔNG TY CP DINH DƯỠNG HỒNG HÀ,0700220547,"Sản xuất, kinh doanh thức ăn chăn nuôi",,Hà Nam
225,CÔNG TY CP XÂY DỰNG AN PHONG,0304621513,Xây dựng,,TP Hồ Chí Minh
226,CÔNG TY CP CƠ KHÍ XÂY DỰNG AMECC,0200786983,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác","2,677,988",Hải Phòng
227,CÔNG TY CP SẢN XUẤT VÀ THƯƠNG MẠI P.P,0101437981,Hoạt động công nghiệp khác,,Hà Nội
228,CÔNG TY CP VINACAFÉ BIÊN HÒA,3600261626,"Sản xuất, chế biến và kinh doanh đường","2,216,910",Đồng Nai
229,CÔNG TY CP ĐẦU TƯ & PHÁT TRIỂN CÔNG NGHỆ QUỐC GIA ADG,0102023052,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",,Hà Nội
230,CÔNG TY CP XUẤT NHẬP KHẨU THIÊN Á,0101726782,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",,Hà Nội
231,CÔNG TY CP TẬP ĐOÀN SEMEC,2900608267,"Kinh doanh kim loại, sắt thép, kim khí…",,Nghệ An
232,CÔNG TY CP VẬT TƯ XĂNG DẦU (COMECO),0300450673,Kinh doanh xăng dầu và các sản phẩm liên quan,"2,659,682",Điện Biên
233,CÔNG TY CP HƯNG THỊNH LAND,0302588518,Kinh doanh bất động sản,,TP Hồ Chí Minh
234,CÔNG TY CP ĐÔNG HẢI BẾN TRE,1300358260,"Sản xuất, kinh doanh giấy và các sản phẩm từ giấy","4,164,331",Bến Tre
235,CÔNG TY CP THƯƠNG MẠI DẦU KHÍ CỬU LONG,1500498480,Kinh doanh xăng dầu và các sản phẩm liên quan,,Vĩnh Long
236,CÔNG TY CP TẬP ĐOÀN DẦU KHÍ AN PHA,0303224471,Kinh doanh xăng dầu và các sản phẩm liên quan,"3,391,420",TP Hồ Chí Minh
237,CÔNG TY CP CÔNG NGHIỆP VĨNH TƯỜNG,0304075529,"Sản xuất, kinh doanh vật liệu xây dựng",,TP Hồ Chí Minh
238,CÔNG TY CP TẬP ĐOÀN ĐIỆN LẠNH ĐIỆN MÁY VIỆT ÚC,0101360104,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",,Hà Nội
239,CÔNG TY CP GIỐNG BÒ SỮA MỘC CHÂU,5500154060,"Sản xuất, chế biến và kinh doanh sữa, sản phẩm từ sữa","2,925,664",Sơn La
240,CÔNG TY CP EUROWINDOW,2500217526,"Sản xuất, kinh doanh vật liệu xây dựng",,Hà Nội
241,TỔNG CÔNG TY CÔNG NGHIỆP DẦU THỰC VẬT VIỆT NAM - CTCP,0300585984,"Sản xuất, chế biến và kinh doanh dầu ăn, mỡ động thực vật","1,495,931",TP Hồ Chí Minh
242,TỔNG CÔNG TY VẬT LIỆU XÂY DỰNG SỐ 1 - CTCP,0300402493,"Sản xuất, kinh doanh vật liệu xây dựng","1,460,847",TP Hồ Chí Minh
243,CÔNG TY TNHH VĨNH HIỆP,5900315114,"Sản xuất, chế biến và kinh doanh thực phẩm tươi sống, đông lạnh",,Gia Lai
244,CÔNG TY CP TẬP ĐOÀN THIÊN LONG,0301464830,Hoạt động công nghiệp khác,"2,668,275",TP Hồ Chí Minh
245,CÔNG TY CP THỦY SẢN SẠCH VIỆT NAM,2200325351,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp",,Sóc Trăng
246,CÔNG TY CP RẠNG ĐÔNG HOLDING,0300384357,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa","2,711,376",TP Hồ Chí Minh
247,CÔNG TY CP TẬP ĐOÀN HOÀNG LONG,1100414052,Xây dựng,"2,527,103",Long An
248,CÔNG TY CP TẬP ĐOÀN BAMBOO CAPITAL,0311315789,Dịch vụ khác,"2,589,459",TP Hồ Chí Minh
249,CÔNG TY CP GEMADEPT,0301116791,Vận tải đường biển,"3,206,290",TP Hồ Chí Minh
250,CÔNG TY CP SÀI GÒN FOOD,0302994301,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp",,TP Hồ Chí Minh
251,NGÂN HÀNG TMCP XĂNG DẦU PETROLIMEX,1400116233,Ngân hàng,,Hà Nội
252,CÔNG TY CP XÂY DỰNG HỢP LỰC,0103711478,Xây dựng,,Hà Nội
253,CÔNG TY CP VẬT TƯ NÔNG SẢN,0100104066,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu",,Hà Nội
254,CÔNG TY TNHH ĐẦU TƯ ĐỊA ỐC THÀNH PHỐ,0302980690,Kinh doanh bất động sản,,TP Hồ Chí Minh
255,CÔNG TY TNHH CƠ KHÍ XÂY DỰNG DST VIỆT NAM,0106462325,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,Hà Nội
256,CÔNG TY TNHH THƯƠNG MẠI VÀ CÔNG NGHIỆP MỸ VIỆT,0900239753,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",,Hưng Yên
257,TỔNG CÔNG TY CP BẢO HIỂM QUÂN ĐỘI,0102385623,Bảo hiểm,"2,655,713",Hà Nội
258,CÔNG TY CP ĐẦU TƯ VÀ XÂY DỰNG XUÂN MAI,0500443916,Xây dựng,"1,612,653",Hà Nội
259,CÔNG TY TNHH MTV BÒ SỮA VIỆT NAM,5000268824,Chăn nuôi,,TP Hồ Chí Minh
260,CÔNG TY CP THÉP VÀ VẬT TƯ XÂY DỰNG,0101967587,"Kinh doanh kim loại, sắt thép, kim khí…",,Hà Nội
261,CÔNG TY TNHH MTV THỨC ĂN THỦY SẢN MEKONG,1401934305,"Sản xuất, kinh doanh thức ăn chăn nuôi",,Đồng Tháp
262,CÔNG TY CP KỸ THUẬT SIGMA,0101600518,Hoạt động xây dựng khác,,Hà Nội
263,CÔNG TY CP CƠ ĐIỆN TRẦN PHÚ,0100106063,"Sản xuất, kinh doanh thiết bị điện",,Hà Nội
264,CÔNG TY CP VINAFREIGHT,0302511219,Hoạt động khác hỗ trợ cho vận tải,"4,895,878",TP Hồ Chí Minh
265,CÔNG TY CP NHỰA HƯNG YÊN,0900108380,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,Hưng Yên
266,CÔNG TY CP ỐNG ĐỒNG TOÀN PHÁT,0900246768,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,Hưng Yên
267,CÔNG TY CP TƯ VẤN VÀ XÂY DỰNG PHÚ XUÂN,0101185572,Xây dựng,,Hà Nội
268,TỔNG CÔNG TY THIẾT BỊ ĐIỆN ĐÔNG ANH - CTCP,0100101322,"Sản xuất, kinh doanh thiết bị điện","2,116,604",Hà Nội
269,CÔNG TY CP TẬP ĐOÀN TOJI,0101261431,"Sản xuất, kinh doanh thiết bị điện",,Hà Nội
270,CÔNG TY TNHH XÂY DỰNG TỰ LẬP,2600251062,Xây dựng,,Phú Thọ
271,CÔNG TY TNHH XUẤT NHẬP KHẨU VI NA ĐẠI VIỆT,3602576702,"Sản xuất, chế biến và kinh doanh thực phẩm tươi sống, đông lạnh",,Đồng Nai
272,CÔNG TY CP MEGRAM,0105284398,"Sản xuất, kinh doanh thiết bị điện",,Hà Nội
273,CÔNG TY TNHH THIẾT BỊ ĐIỆN LIOA,0900246535,"Sản xuất, kinh doanh thiết bị điện",,Hưng Yên
274,CÔNG TY CP LICOGI 13,0100106426,Xây dựng,"2,439,778",Hà Nội
275,CÔNG TY TNHH XUẤT NHẬP KHẨU - THƯƠNG MẠI - CÔNG NGHỆ - DỊCH VỤ HÙNG DUY,3900212443,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",,Tây Ninh
276,CÔNG TY CP THƯƠNG MẠI CITICOM,0101370014,"Kinh doanh kim loại, sắt thép, kim khí…",,Hà Nội
277,CÔNG TY CP ĐẦU TƯ THƯƠNG MẠI XNK VIỆT PHÁT,0200826844,"Khai thác, chế biến, kinh doanh quặng kim loại và hoạt động hỗ trợ","3,863,572",Hải Phòng
278,TỔNG CÔNG TY 36,0105454762,Xây dựng,"1,161,553",Hà Nội
279,TỔNG CÔNG TY LICOGI- CTCP,0100106440,Xây dựng,"1,988,415",Hà Nội
280,CÔNG TY CP HAWEE CƠ ĐIỆN,0101466566,Hoạt động xây dựng khác,,Hà Nội
281,CÔNG TY CP THỰC PHẨM CHOLIMEX,0304475742,"Sản xuất, chế biến và kinh doanh thực phẩm khác","2,508,601",TP Hồ Chí Minh
282,TỔNG CÔNG TY CỔ PHẦN BẢO HIỂM SÀI GÒN - HÀ NỘI,0103085460,Bảo hiểm,,Hà Nội
283,CÔNG TY CP ĐẦU TƯ VĂN PHÚ - INVEST,0102702590,Kinh doanh bất động sản,"2,610,596",Hà Nội
284,CÔNG TY CP ĐẦU TƯ VÀ PHÁT TRIỂN BẤT ĐỘNG SẢN AN GIA,0311500196,Kinh doanh bất động sản,"1,808,365",TP Hồ Chí Minh
285,CÔNG TY CP XÂY DỰNG PHƯỚC THÀNH,0303615482,Xây dựng,,TP Hồ Chí Minh
286,CÔNG TY CP ECOBA VIỆT NAM,0104415496,Xây dựng,,Hà Nội
287,CÔNG TY CP CHỨNG KHOÁN TP. HỒ CHÍ MINH,0302910950,Chứng khoán,"4,460,113",TP Hồ Chí Minh
288,CÔNG TY TNHH THƯƠNG MẠI XÂY DỰNG VẬN TẢI THANH LONG,0304133227,"Sản xuất, kinh doanh vật liệu xây dựng",,TP Hồ Chí Minh
289,CÔNG TY CP ĐÓNG TÀU VÀ VẬN TẢI BIỂN NAM PHÁT,5701483604,Công nghiệp đóng tàu và thuyền,,Quảng Ninh
290,TỔNG CÔNG TY HÓA CHẤT VÀ DỊCH VỤ DẦU KHÍ - CTCP,0100150873,"Thăm dò, khai thác dầu mỏ và hoạt động hỗ trợ","2,760,260",Hà Nội
291,CÔNG TY CP TẬP ĐOÀN VINACAM,0303800051,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu",,TP Hồ Chí Minh
292,CÔNG TY CP ĐẦU TƯ DU LỊCH VÀ PHÁT TRIỂN THỦY SẢN,1600895650,Hoạt động xây dựng khác,,Đồng Tháp
293,CÔNG TY CP BẤT ĐỘNG SẢN THẾ KỶ,0101160306,Kinh doanh bất động sản,"5,597,582",Hà Nội
294,CÔNG TY CP NHỰA BẢO VÂN,3700257662,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,Bình Dương
295,CÔNG TY CP TẬP ĐOÀN CIENCO4,2900324850,Xây dựng,"1,885,076",Hà Nội
296,CÔNG TY CP MÁY TÍNH VĨNH XUÂN,0100516045,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",,Hà Nội
297,CÔNG TY CP KỸ NGHỆ THỰC PHẨM VIỆT NAM (VIFON),0300627384,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp",,TP Hồ Chí Minh
298,CÔNG TY CP TẬP ĐOÀN ĐẠT PHƯƠNG,0101218757,Xây dựng,"2,545,456",Hà Nội
299,CÔNG TY CP CHỨNG KHOÁN VNDIRECT,0102065366,Chứng khoán,"6,039,233",Hà Nội
300,TỔNG CÔNG TY CP PHONG PHÚ,0301446006,"Sản xuất, kinh doanh sợi, sản phẩm dệt","1,652,139",TP Hồ Chí Minh
301,CÔNG TY CP ĐỒNG TÂM,1100548578,Kinh doanh bất động sản,,Long An
302,CÔNG TY CP ĐẦU TƯ LBM,0308783233,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",,TP Hồ Chí Minh
303,CÔNG TY CP THỰC PHẨM AN LONG,1100814572,"Sản xuất, chế biến và kinh doanh dầu ăn, mỡ động thực vật",,Long An
304,CÔNG TY TNHH HÙNG CÁ,1400528082,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp",,Đồng Tháp
305,CÔNG TY CP SAM HOLDINGS,3600253537,"Sản xuất, kinh doanh thiết bị điện","1,888,697",TP Hồ Chí Minh
306,CÔNG TY CP GAVI,1601645981,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",,An Giang
307,CÔNG TY CP ĐẦU TƯ APAX HOLDINGS,0105824156,Dịch vụ khác,"1,733,836",Hà Nội
308,CÔNG TY CP XĂNG DẦU TÍN NGHĨA,3601038204,Kinh doanh xăng dầu và các sản phẩm liên quan,,Đồng Nai
309,CÔNG TY CP KHO VẬN MIỀN NAM,0300645369,"Kho bãi, bốc xếp hàng hóa","686,821",TP Hồ Chí Minh
310,CÔNG TY CP KỸ THƯƠNG THIÊN HOÀNG,0101272578,"Sản xuất, kinh doanh vật liệu xây dựng",,Hà Nội
311,CÔNG TY CP BM WINDOWS,0313919539,Xây dựng,,TP Hồ Chí Minh
312,CÔNG TY CP ỐNG THÉP THUẬN PHÁT,0800902222,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,Hải Dương
313,CÔNG TY CP DƯỢC PHẨM HÀ TÂY,0500391400,"Sản xuất dược phẩm, thiết bị y tế","1,609,364",Hà Nội
314,CÔNG TY CP XÂY DỰNG FLC FAROS,0105167581,Xây dựng,,Hà Nội
315,CÔNG TY CP TẬP ĐOÀN TRANG KHANH,0201725327,"Kinh doanh kim loại, sắt thép, kim khí…",,Hải Phòng
316,CÔNG TY CP TẬP ĐOÀN TONMAT,2300238060,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,Bắc Ninh
317,CÔNG TY CP ĐẠI THIÊN LỘC,3700381282,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác","1,380,751",Bình Dương
318,CÔNG TY CP XÂY DỰNG SỐ 1,0300408745,Xây dựng,,TP Hồ Chí Minh
319,CÔNG TY TNHH THƯƠNG MẠI VÀ SẢN XUẤT NAM PHÁT,0101806244,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",,Hà Nội
320,CÔNG TY CP TRAPHACO,0100108656,"Sản xuất dược phẩm, thiết bị y tế","2,160,840",Hà Nội
321,CÔNG TY CP PHÂN BÓN HÓA CHẤT DẦU KHÍ MIỀN TRUNG,4100733174,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu","3,036,619",Bình Định
322,CÔNG TY TNHH HÒA BÌNH,0100276146,"Bán lẻ hàng tiêu dùng nhanh trong siêu thị, cửa hàng tiện lợi, chợ truyền thông",,Hà Nội
323,CÔNG TY CP ĐỊA ỐC SÀI GÒN THƯƠNG TÍN,0303315400,Kinh doanh bất động sản,"1,683,184",TP Hồ Chí Minh
324,CÔNG TY CP TRUNG ĐÔNG,3600669165,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,Đồng Nai
325,CÔNG TY CP B.C.H,0800286887,"Kinh doanh kim loại, sắt thép, kim khí…",,Hải Dương
326,CÔNG TY TNHH THÉP NHẬT QUANG,0900234699,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,Hưng Yên
327,CÔNG TY CP MÍA ĐƯỜNG LAM SƠN,2800463346,"Sản xuất, chế biến và kinh doanh đường","2,041,296",Thanh Hoá
328,CÔNG TY CP LOUIS HOLDINGS,1101573295,Dịch vụ tài chính khác,,TP Hồ Chí Minh
329,"CÔNG TY CP ĐẦU TƯ, THƯƠNG MẠI VÀ DỊCH VỤ - VINACOMIN",0200170658,"Khai thác, kinh doanh than và hoạt động hỗ trợ","1,460,351",Hà Nội
330,CÔNG TY TNHH BÊ TÔNG VÀ XÂY DỰNG MINH ĐỨC,0200611969,"Sản xuất, kinh doanh vật liệu xây dựng",,Hải Phòng
331,CÔNG TY CP DƯỢC PHẨM ECO,0102637020,"Kinh doanh, phân phối dược phẩm, thiết bị y tế",,Hà Nội
332,CÔNG TY CP CHỨNG KHOÁN SÀI GÒN - HÀ NỘI,0102524651,Chứng khoán,"-64,305",Hà Nội
333,CÔNG TY CP ĐẦU TƯ XÂY DỰNG VÀ THƯƠNG MẠI QUỐC TẾ - ICT,0100828742,Công nghiệp khác,,Hà Nội
334,CÔNG TY CP TẬP ĐOÀN GIỐNG CÂY TRỒNG VIỆT NAM,0101449271,Hoạt động nông nghiệp khác,"1,928,606",Hà Nội
335,CÔNG TY CP ĐẦU TƯ VÀ KINH DOANH THÉP NHÂN LUẬT,0400102616,"Kinh doanh kim loại, sắt thép, kim khí…",,Đà Nẵng
336,CÔNG TY CP BẢO HIỂM VIỄN ĐÔNG,0303099446,Bảo hiểm,,TP Hồ Chí Minh
337,CÔNG TY CP SẢN XUẤT VÀ CÔNG NGHỆ NHỰA PHA LÊ,0103018538,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa","2,412,715",Hải Phòng
338,CÔNG TY CP ĐẦU TƯ VÀ XÂY DỰNG TIỀN GIANG,1200526842,Xây dựng,"1,318,964",Tiền Giang
339,BMB STEEL,3700778489,Xây dựng,,Bình Dương
340,CÔNG TY CP TẬP ĐOÀN AUSTDOOR,0101306139,"Sản xuất, kinh doanh vật liệu xây dựng",,Hà Nội
341,CÔNG TY TNHH SAO MAI SUPER FEED,1401976866,"Sản xuất, kinh doanh thức ăn chăn nuôi",,Đồng Tháp
342,CÔNG TY CP SADICO CẦN THƠ,1800155452,"Sản xuất, kinh doanh trang phục","1,353,508",Cần Thơ
343,NGÂN HÀNG TMCP SÀI GÒN CÔNG THƯƠNG,0300610408,Ngân hàng,"589,171",Thái Bình
344,CÔNG TY CP TẬP ĐOÀN NHỰA ĐÔNG Á,0101099228,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa","1,953,961",Hà Nội
345,CÔNG TY TNHH THƯƠNG MẠI THÉP TOÀN THẮNG,0301424404,"Kinh doanh kim loại, sắt thép, kim khí…",,TP Hồ Chí Minh
346,CÔNG TY TÀI CHÍNH CP ĐIỆN LỰC,0102806367,Ngân hàng,"786,127",Hà Nội
347,CÔNG TY CP CHỨNG KHOÁN BẢN VIỆT,0305299779,Chứng khoán,"3,707,069",TP Hồ Chí Minh
348,CÔNG TY CP VẬN TẢI DẦU KHÍ THÁI BÌNH DƯƠNG,0305475110,Vận tải đường biển,"1,244,003",TP Hồ Chí Minh
349,CÔNG TY CP DỆT 10/10,0100100590,"Sản xuất, kinh doanh trang phục",,Hà Nội
350,CÔNG TY CP THƯƠNG MẠI XUẤT NHẬP KHẨU DẦU KHÍ MINH ĐỨC,0313094165,Kinh doanh xăng dầu và các sản phẩm liên quan,,TP Hồ Chí Minh
351,TỔNG CÔNG TY XÂY DỰNG BẠCH ĐẰNG,0200157840,Xây dựng,,Hải Phòng
352,TỔNG CÔNG TY ĐỨC GIANG - CTCP,0100101403,"Sản xuất, kinh doanh trang phục","1,915,407",Hà Nội
353,CÔNG TY CP SCI,0101405355,Xây dựng,"6,451,445",Hà Nội
354,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ SẢN XUẤT GIẤY KHẢI HOÀN,0306012059,"Sản xuất, kinh doanh giấy và các sản phẩm từ giấy",,TP Hồ Chí Minh
355,CÔNG TY TNHH RITA VÕ,0302802627,"Sản xuất, kinh doanh vật liệu xây dựng",,Hà Nội
356,CÔNG TY CP DATVIET MEDIA,0304752594,Quảng cáo và nghiên cứu thị trường,,TP Hồ Chí Minh
357,CÔNG TY CP VIỄN THÔNG - TIN HỌC BƯU ĐIỆN (CTIN),0100683374,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",,Hà Nội
358,CÔNG TY CP HẢI ĐĂNG,3900513521,Xây dựng,,TP Hồ Chí Minh
359,CÔNG TY CP THIỆN PHÚ SĨ,0303376241,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,Long An
360,CÔNG TY TNHH XÂY DỰNG TUẤN LÊ,0307859271,Xây dựng,,TP Hồ Chí Minh
361,CÔNG TY CP DƯỢC - THIẾT BỊ Y TẾ ĐÀ NẴNG,0400101404,"Kinh doanh, phân phối dược phẩm, thiết bị y tế","1,546,299",Đà Nẵng
362,CÔNG TY CP VẬN TẢI SẢN PHẨM KHÍ QUỐC TẾ,0305390530,Vận tải đường biển,"1,631,605",TP Hồ Chí Minh
363,CÔNG TY CP XÂY DỰNG CDC,0105283073,Xây dựng,,Hà Nội
364,CÔNG TY CP DẦU THỰC VẬT TÂN BÌNH,0303587122,"Sản xuất, chế biến và kinh doanh dầu ăn, mỡ động thực vật",,TP Hồ Chí Minh
365,CÔNG TY CP XÂY DỰNG PHỤC HƯNG HOLDINGS,0101311315,Xây dựng,"289,459",Hà Nội
366,CÔNG TY TNHH TNI KING COFFEE,0313743966,"Sản xuất, chế biến và kinh doanh đồ uống không cồn",,TP Hồ Chí Minh
367,CÔNG TY CP ĐỊA ỐC PHÚ LONG,0303739921,Kinh doanh bất động sản,,TP Hồ Chí Minh
368,CÔNG TY CP TỔNG CÔNG TY MAY ĐỒNG NAI,3600506058,"Sản xuất, kinh doanh trang phục",,Đồng Nai
369,CÔNG TY CP XUẤT NHẬP KHẨU THUẬN MINH,0309828977,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",,TP Hồ Chí Minh
370,CÔNG TY CỔ PHẦN SEAREFICO,0301825452,Hoạt động xây dựng khác,"930,440",TP Hồ Chí Minh
371,CÔNG TY TNHH THƯƠNG MẠI THÉP NAM VIỆT,0301985093,"Kinh doanh kim loại, sắt thép, kim khí…",,TP Hồ Chí Minh
372,CÔNG TY TNHH CỎ MAY LAI VUNG,1401598685,"Sản xuất, kinh doanh thức ăn chăn nuôi",,Đồng Tháp
373,CÔNG TY TNHH THƯƠNG MẠI VÀ VẬN TẢI THÁI TÂN,0101188943,Bán lẻ khác,,Hà Nội
374,CÔNG TY CP CHỨNG KHOÁN TÂN VIỆT,0102117529,Chứng khoán,,Hà Nội
375,CÔNG TY CP XÂY LẮP VÀ VẬT TƯ XÂY DỰNG,0300588664,Xây dựng,,Thái Bình
376,CÔNG TY CP ĐẦU TƯ MAI TIẾN PHÁT,0309930593,"Sản xuất, kinh doanh thiết bị điện",,TP Hồ Chí Minh
377,CÔNG TY TNHH KIẾN VƯƠNG,0304355389,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu",,TP Hồ Chí Minh
378,CÔNG TY CP PI CO,0102018260,"Bán lẻ điện tử, điện lạnh, viễn thông, công nghệ thông tin",,Hà Nội
379,CÔNG TY CP TẬP ĐOÀN C.E.O,0101183550,Kinh doanh bất động sản,"901,811",Hà Nội
