,Company,MST,NGANH_NGHE,doanh_thu_2021,tinh
43,NGÂN HÀNG TMCP PHƯƠNG ĐÔNG,0300852005,Ngân hàng,"1,701,758",TP Hồ Chí Minh
44,TỔNG CÔNG TY CP DỊCH VỤ TỔNG HỢP DẦU KHÍ,0300452060,"Bán lẻ điện tử, điện lạnh, viễn thông, công nghệ thông tin","17,598,238",TP Hồ Chí Minh
45,NGÂN HÀNG TMCP HÀNG HẢI VIỆT NAM,0200124891,Ngân hàng,"6,216,244",Hà Nội
46,CÔNG TY CP TẬP ĐOÀN SAO MAI,1600169024,Kinh doanh bất động sản,"11,397,926",An Giang
47,CÔNG TY CP THẾ GIỚI SỐ,0302861742,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…","20,922,813",Thái Bình
48,NGÂN HÀNG TMCP ĐÔNG NAM Á,0200253985,Ngân hàng,"5,186,093",Hà Nội
49,NGÂN HÀNG TMCP XUẤT NHẬP KHẨU VIỆT NAM,0301179079,Ngân hàng,"3,524,302",TP Hồ Chí Minh
50,CÔNG TY CP THƯƠNG MẠI THÁI HƯNG,4600310787,"Khai thác, chế biến, kinh doanh quặng kim loại và hoạt động hỗ trợ",,Thái Nguyên
51,CÔNG TY TNHH THƯƠNG MẠI VÀ DƯỢC PHẨM SANG,0310631333,"Kinh doanh, phân phối dược phẩm, thiết bị y tế",,TP Hồ Chí Minh
52,CÔNG TY CP TÔN ĐÔNG Á,3700255880,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",,Bình Dương
53,CÔNG TY CP VIỄN THÔNG FPT,0101778163,Viễn thông,"12,686,416",Hà Nội
54,CÔNG TY CP TẬP ĐOÀN ĐẦU TƯ ĐỊA ỐC NO VA,0301444753,Kinh doanh bất động sản,"14,902,760",TP Hồ Chí Minh
55,CÔNG TY CP THÉP NAM KIM,3700477019,"Sản xuất, gia công kim loại, sắt thép, kim khí…","28,173,402",Bình Dương
56,CÔNG TY CP TẬP ĐOÀN XÂY DỰNG HÒA BÌNH,0302158498,Xây dựng,"11,355,969",TP Hồ Chí Minh
57,CÔNG TY CP DÂY CÁP ĐIỆN VIỆT NAM,0300381564,"Sản xuất, kinh doanh thiết bị điện","10,479,096",Thái Bình
58,CÔNG TY CP TẬP ĐOÀN T&T,0100233223,Dịch vụ tài chính khác,,Hà Nội
59,CÔNG TY CP TẬP ĐOÀN DABACO VIỆT NAM,2300105790,"Sản xuất, kinh doanh thức ăn chăn nuôi","10,812,795",Bắc Ninh
60,NGÂN HÀNG TMCP BẮC Á,2900325526,Ngân hàng,"2,117,228",Nghệ An
61,CÔNG TY CP THÉP POMINA,3700321364,"Sản xuất, gia công kim loại, sắt thép, kim khí…","14,000,250",Bình Dương
62,CÔNG TY CP PVI,0100151161,Bảo hiểm,"1,581,149",Hà Nội
63,NGÂN HÀNG TMCP NAM Á,0300872315,Ngân hàng,"4,283,189",TP Hồ Chí Minh
64,CÔNG TY TNHH TẬP ĐOÀN BIM,5701942544,Kinh doanh bất động sản,,Quảng Ninh
65,CÔNG TY CP SẢN XUẤT THÉP VINA ONE,1100549268,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,Long An
66,TỔNG CÔNG TY VIGLACERA - CTCP,0100108173,"Sản xuất, kinh doanh vật liệu xây dựng","11,194,313",Hà Nội
67,CÔNG TY CP CẢNG RAU QUẢ,0302336158,"Kho bãi, bốc xếp hàng hóa","10,319,544",TP Hồ Chí Minh
68,CÔNG TY CP MASAN HIGH-TECH MATERIALS,0309966889,Dịch vụ khác,"13,564,290",TP Hồ Chí Minh
69,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ PHÁT TIẾN,0301049150,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",,TP Hồ Chí Minh
70,TỔNG CÔNG TY BẢO HIỂM PVI,0105402531,Bảo hiểm,,Hà Nội
71,CÔNG TY CP TẬP ĐOÀN PAN,0301472704,Hoạt động nông nghiệp khác,"9,248,572",Long An
72,CÔNG TY CP THÉP TVP,1100598716,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,Long An
73,CÔNG TY CP TẬP ĐOÀN AN PHÁT HOLDINGS,0801210129,Dịch vụ tài chính khác,"14,793,871",Hải Dương
74,CÔNG TY CP VINCOM RETAIL,0105850244,Kinh doanh bất động sản,"5,891,141",Hà Nội
75,TỔNG CÔNG TY CP XUẤT NHẬP KHẨU VÀ XÂY DỰNG VIỆT NAM,0100105616,Xây dựng,"5,749,000",Hà Nội
76,CÔNG TY CP TẬP ĐOÀN KIDO,0302705302,"Sản xuất, chế biến và kinh doanh đường","10,496,864",TP Hồ Chí Minh
77,CÔNG TY CP MEDIAMART VIỆT NAM,0102516308,"Bán lẻ điện tử, điện lạnh, viễn thông, công nghệ thông tin",,Hà Nội
78,CÔNG TY TNHH HÀO HƯNG,0301952517,Hoạt động công nghiệp khác,,TP Hồ Chí Minh
79,TẬP ĐOÀN GELEXIMCO - CTCP,0100514947,Kinh doanh bất động sản,,Hà Nội
80,CÔNG TY CP ĐẦU TƯ THÁI BÌNH,3700148737,"Sản xuất, kinh doanh sản phẩm da giầy",,Bình Dương
81,CÔNG TY CP DỊCH VỤ PHÂN PHỐI TỔNG HỢP DẦU KHÍ,0305482862,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…","8,595,396",TP Hồ Chí Minh
82,NGÂN HÀNG TMCP AN BÌNH,0301412222,Ngân hàng,"3,064,563",Hà Nội
83,CÔNG TY TNHH DỊCH VỤ VÀ THƯƠNG MẠI MESA,0100520429,"Sản xuất, kinh doanh đồ dùng gia đình",,Hà Nội
84,CÔNG TY CP ĐẦU TƯ XÂY DỰNG RICONS,0303527596,Xây dựng,,TP Hồ Chí Minh
85,CÔNG TY CP TẬP ĐOÀN LỘC TRỜI,1600192619,Hoạt động nông nghiệp khác,"10,224,140",An Giang
86,CÔNG TY CP NHỰA AN PHÁT XANH,0800373586,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa","13,143,110",Hải Dương
87,CÔNG TY CP TỔNG CÔNG TY TÍN NGHĨA,3600283394,Kinh doanh bất động sản,"7,056,020",Đồng Nai
88,CÔNG TY CP VĨNH HOÀN,1400112623,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp","9,054,249",Đồng Tháp
89,TỔNG CÔNG TY CP MAY VIỆT TIẾN,0300401524,"Sản xuất, kinh doanh trang phục","6,008,314",TP Hồ Chí Minh
90,TỔNG CÔNG TY XÂY DỰNG SỐ 1 - CTCP,0301429113,Xây dựng,"5,664,069",TP Hồ Chí Minh
91,CÔNG TY CP HIM LAM,0301437499,Kinh doanh bất động sản,,TP Hồ Chí Minh
92,CÔNG TY CP THỦY SẢN SÓC TRĂNG,2200108445,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp",,Sóc Trăng
93,CÔNG TY CP ĐẦU TƯ HẠ TẦNG KỸ THUẬT TP. HỒ CHÍ MINH,0302483177,Xây dựng,"2,860,034",Điện Biên
94,CÔNG TY CP TẬP ĐOÀN PC1,0100100745,Hoạt động xây dựng khác,"9,828,463",Hà Nội
95,CÔNG TY TNHH ĐẦU TƯ SẢN XUẤT THƯƠNG MẠI DỊCH VỤ PHAN MINH,0303283290,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",,TP Hồ Chí Minh
96,CÔNG TY CP ĐƯỜNG QUẢNG NGÃI,4300205943,"Sản xuất, chế biến và kinh doanh đường","7,335,294",Quảng Ngãi
97,CÔNG TY CP ỐNG THÉP VIỆT - ĐỨC VG PIPE,2500267703,"Sản xuất, gia công kim loại, sắt thép, kim khí…","1,688,167",Vĩnh Phúc
98,CÔNG TY CP ĐẦU TƯ VÀ PHÁT TRIỂN ĐA QUỐC GIA I.D.I,0303141296,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp","5,718,848",Đồng Tháp
99,NGÂN HÀNG TMCP QUỐC DÂN,1700169765,Ngân hàng,"1,259,219",Hà Nội
100,NGÂN HÀNG TMCP VIỆT Á,0302963695,Ngân hàng,"1,551,307",Hà Nội
101,CÔNG TY CP VNG,0303490096,"Dịch vụ vui chơi, giải trí",,TP Hồ Chí Minh
102,NGÂN HÀNG TMCP VIỆT NAM THƯƠNG TÍN,2200269805,Ngân hàng,"1,486,208",Sóc Trăng
103,CÔNG TY TNHH THƯƠNG MẠI VHC (SIÊU THỊ ĐIỆN MÁY HC),0105690657,"Bán lẻ điện tử, điện lạnh, viễn thông, công nghệ thông tin",,Hà Nội
