Company,CEO,MST,NGANH_NGHE,doanh_thu_2020,doanh_thu_2021,tinh
NGÂN HÀNG TMCP HÀNG HẢI VIỆT NAM,Nguyễn Hoàng Linh,0200124891,Ngân hàng,"4,822,389","6,216,244",Hà Nội
CÔNG TY CP TẬP ĐOÀN SAO MAI,Lê Thanh Thuấn,1600169024,Kinh doanh bất động sản,"12,524,614","11,397,926",An Giang
CÔNG TY CP THẾ GIỚI SỐ,Đoàn Hồng Việt,0302861742,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…","12,535,638","20,922,813",TP Hồ Chí Minh
NGÂN HÀNG TMCP ĐÔNG NAM Á,Lê Văn Tần,0200253985,Ngân hàng,"3,061,716","5,186,093",Hà Nội
NGÂN HÀNG TMCP XUẤT NHẬP KHẨU VIỆT NAM,Nguyễn Quốc Hương,0301179079,Ngân hàng,"3,313,736","3,524,302",TP Hồ Chí Minh
CÔNG TY CP THƯƠNG MẠI THÁI HƯNG,Nguyễn Thị Vinh,4600310787,"Khai thác, chế biến, kinh doanh quặng kim loại và hoạt động hỗ trợ",,,Thái Nguyên
CÔNG TY TNHH THƯƠNG MẠI VÀ DƯỢC PHẨM SANG,Lê Quỳnh Liên,0310631333,"Kinh doanh, phân phối dược phẩm, thiết bị y tế",,,TP Hồ Chí Minh
CÔNG TY CP TÔN ĐÔNG Á,Nguyễn Thanh Trung,3700255880,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",,,Bình Dương
CÔNG TY CP VIỄN THÔNG FPT,Hoàng Việt Anh,0101778163,Viễn thông,"11,466,154","12,686,416",Hà Nội
CÔNG TY CP TẬP ĐOÀN ĐẦU TƯ ĐỊA ỐC NO VA,Nguyễn ngọc Huyên,0301444753,Kinh doanh bất động sản,"5,026,358","14,902,760",TP Hồ Chí Minh
CÔNG TY CP THÉP NAM KIM,Võ Hoàng Vũ,3700477019,"Sản xuất, gia công kim loại, sắt thép, kim khí…","11,559,675","28,173,402",Bình Dương
CÔNG TY CP TẬP ĐOÀN XÂY DỰNG HÒA BÌNH,Lê Viết Hiếu,0302158498,Xây dựng,"11,224,653","11,355,969",TP Hồ Chí Minh
CÔNG TY CP DÂY CÁP ĐIỆN VIỆT NAM,Lê Quang Định,0300381564,"Sản xuất, kinh doanh thiết bị điện","10,578,973","10,479,096",TP Hồ Chí Minh
CÔNG TY CP TẬP ĐOÀN T&T,Đỗ Quang Hiển,0100233223,Dịch vụ tài chính khác,,,Hà Nội
CÔNG TY CP TẬP ĐOÀN DABACO VIỆT NAM,Nguyễn Khắc Thảo,2300105790,"Sản xuất, kinh doanh thức ăn chăn nuôi","10,021,584","10,812,795",Bắc Ninh
NGÂN HÀNG TMCP BẮC Á,Thái Hương,2900325526,Ngân hàng,"2,031,071","2,117,228",Nghệ An
CÔNG TY CP THÉP POMINA,Đỗ Văn Khánh,3700321364,"Sản xuất, gia công kim loại, sắt thép, kim khí…","9,819,652","14,000,250",Bình Dương
CÔNG TY CP PVI,Bùi Vạn Thuận,0100151161,Bảo hiểm,"1,480,551","1,581,149",Hà Nội
NGÂN HÀNG TMCP NAM Á,Trần Ngọc Tâm,0300872315,Ngân hàng,"2,603,945","4,283,189",TP Hồ Chí Minh
CÔNG TY TNHH TẬP ĐOÀN BIM,Đoàn Quốc Huy,5701942544,Kinh doanh bất động sản,,,Quảng Ninh
CÔNG TY CP SẢN XUẤT THÉP VINA ONE,Huỳnh Nghĩa Thiện,1100549268,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,,Long An
TỔNG CÔNG TY VIGLACERA - CTCP,Nguyễn Anh Tuấn,0100108173,"Sản xuất, kinh doanh vật liệu xây dựng","9,433,049","11,194,313",Hà Nội
CÔNG TY CP CẢNG RAU QUẢ,Đặng Như Bình,0302336158,"Kho bãi, bốc xếp hàng hóa","9,238,488","10,319,544",TP Hồ Chí Minh
CÔNG TY CP MASAN HIGH-TECH MATERIALS,Craig Richard Bradshaw,0309966889,Dịch vụ khác,"7,291,181","13,564,290",TP Hồ Chí Minh
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ PHÁT TIẾN,Hồ Minh Trí,0301049150,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",,,TP Hồ Chí Minh
TỔNG CÔNG TY BẢO HIỂM PVI,Phạm Anh Đức,0105402531,Bảo hiểm,,,Hà Nội
CÔNG TY CP TẬP ĐOÀN PAN,Nguyễn Trà My,0301472704,Hoạt động nông nghiệp khác,"8,329,251","9,248,572",Hà Nội
CÔNG TY CP THÉP TVP,Ninh Thị Bích Thùy,1100598716,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,,Long An
CÔNG TY CP TẬP ĐOÀN AN PHÁT HOLDINGS,Đinh Xuân Cường,0801210129,Dịch vụ tài chính khác,"8,484,891","14,793,871",Hải Dương
CÔNG TY CP VINCOM RETAIL,Trần Mai Hoa,0105850244,Kinh doanh bất động sản,"8,328,918","5,891,141",Hà Nội
TỔNG CÔNG TY CP XUẤT NHẬP KHẨU VÀ XÂY DỰNG VIỆT NAM,Nguyễn Xuân Đông,0100105616,Xây dựng,"5,551,436","5,749,000",Hà Nội
CÔNG TY CP TẬP ĐOÀN KIDO,Trần Lệ Nguyên,0302705302,"Sản xuất, chế biến và kinh doanh đường","8,323,616","10,496,864",TP Hồ Chí Minh
CÔNG TY CP MEDIAMART VIỆT NAM,Lê Quang Vũ,0102516308,"Bán lẻ điện tử, điện lạnh, viễn thông, công nghệ thông tin",,,Hà Nội
CÔNG TY TNHH HÀO HƯNG,Thang Văn Hóa,0301952517,Hoạt động công nghiệp khác,,,TP Hồ Chí Minh
TẬP ĐOÀN GELEXIMCO - CTCP,Vũ Văn Tiền,0100514947,Kinh doanh bất động sản,,,Hà Nội
CÔNG TY CP ĐẦU TƯ THÁI BÌNH,Nguyễn Đức Thuấn,3700148737,"Sản xuất, kinh doanh sản phẩm da giầy",,,Bình Dương
CÔNG TY CP DỊCH VỤ PHÂN PHỐI TỔNG HỢP DẦU KHÍ,Vũ Tiến Dương,0305482862,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…","8,237,757","8,595,396",TP Hồ Chí Minh
NGÂN HÀNG TMCP AN BÌNH,Lê Hải,0301412222,Ngân hàng,"2,381,546","3,064,563",TP Hồ Chí Minh
CÔNG TY TNHH DỊCH VỤ VÀ THƯƠNG MẠI MESA,Lưu Tuyết Mai,0100520429,"Sản xuất, kinh doanh đồ dùng gia đình",,,Hà Nội
CÔNG TY CP ĐẦU TƯ XÂY DỰNG RICONS,Trần Quang Quân,0303527596,Xây dựng,,,TP Hồ Chí Minh
CÔNG TY CP TẬP ĐOÀN LỘC TRỜI,Nguyễn Duy Thuận,1600192619,Hoạt động nông nghiệp khác,"7,505,793","10,224,140",An Giang
CÔNG TY CP NHỰA AN PHÁT XANH,Đinh Xuân Cường,0800373586,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa","7,428,557","13,143,110",Hải Dương
CÔNG TY CP TỔNG CÔNG TY TÍN NGHĨA,Trần Trung Tuấn,3600283394,Kinh doanh bất động sản,"7,416,931","7,056,020",Đồng Nai
CÔNG TY CP VĨNH HOÀN,Nguyễn Ngô Vi Tâm,1400112623,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp","7,037,180","9,054,249",Đồng Tháp
TỔNG CÔNG TY CP MAY VIỆT TIẾN,Bùi Văn Tiến,0300401524,"Sản xuất, kinh doanh trang phục","7,120,959","6,008,314",TP Hồ Chí Minh
TỔNG CÔNG TY XÂY DỰNG SỐ 1 - CTCP,Lê Hữu Việt Đức,0301429113,Xây dựng,"6,845,439","5,664,069",TP Hồ Chí Minh
CÔNG TY CP HIM LAM,Dương Công Hùng,0301437499,Kinh doanh bất động sản,,,TP Hồ Chí Minh
CÔNG TY CP THỦY SẢN SÓC TRĂNG,Trần Văn Phẩm,2200108445,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp",,,Sóc Trăng
CÔNG TY CP ĐẦU TƯ HẠ TẦNG KỸ THUẬT TP. HỒ CHÍ MINH,Lê Quốc Bình,0302483177,Xây dựng,"5,374,092","2,860,034",TP Hồ Chí Minh
CÔNG TY CP TẬP ĐOÀN PC1,Trịnh Văn Tuấn,0100100745,Hoạt động xây dựng khác,"6,678,601","9,828,463",Hà Nội
CÔNG TY TNHH ĐẦU TƯ SẢN XUẤT THƯƠNG MẠI DỊCH VỤ PHAN MINH,Phan Hùng Minh,0303283290,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",,,TP Hồ Chí Minh
CÔNG TY CP ĐƯỜNG QUẢNG NGÃI,Võ Thành Đàng,4300205943,"Sản xuất, chế biến và kinh doanh đường","6,213,489","7,335,294",Quảng Ngãi
CÔNG TY CP ỐNG THÉP VIỆT - ĐỨC VG PIPE,Nguyễn Hữu Thể,2500267703,"Sản xuất, gia công kim loại, sắt thép, kim khí…","2,506,408","1,688,167",Vĩnh Phúc
CÔNG TY CP ĐẦU TƯ VÀ PHÁT TRIỂN ĐA QUỐC GIA I.D.I,Lê Văn Chung,0303141296,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp","6,366,756","5,718,848",Đồng Tháp
NGÂN HÀNG TMCP QUỐC DÂN,Phạm Thế Hiệp,1700169765,Ngân hàng,"1,433,742","1,259,219",Hà Nội
NGÂN HÀNG TMCP VIỆT Á,Nguyễn Văn Trọng,0302963695,Ngân hàng,"1,310,780","1,551,307",Hà Nội
CÔNG TY CP VNG,Lê Hồng Minh,0303490096,"Dịch vụ vui chơi, giải trí",,,TP Hồ Chí Minh
NGÂN HÀNG TMCP VIỆT NAM THƯƠNG TÍN,Nguyễn Hữu Trung,2200269805,Ngân hàng,"569,759","1,486,208",Sóc Trăng
CÔNG TY TNHH THƯƠNG MẠI VHC (SIÊU THỊ ĐIỆN MÁY HC),Nguyễn Hoàng Hải,0105690657,"Bán lẻ điện tử, điện lạnh, viễn thông, công nghệ thông tin",,,Hà Nội
CÔNG TY CP XI MĂNG XUÂN THÀNH,Nguyễn Xuân Thủy,0700576529,"Sản xuất, kinh doanh vật liệu xây dựng",,,Hà Nam
CÔNG TY CP CƠ ĐIỆN LẠNH,Huỳnh Thanh Hải,0300741143,Hoạt động xây dựng khác,"5,639,753","5,809,811",TP Hồ Chí Minh
CÔNG TY CP ĐẦU TƯ THÀNH THÀNH CÔNG,Huỳnh Bích Ngọc,0301466073,"Sản xuất, chế biến và kinh doanh đường",,,TP Hồ Chí Minh
CÔNG TY CP CITY AUTO,Nguyễn Hoàng Minh Tiến,0307979603,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện","5,644,019","4,508,688",TP Hồ Chí Minh
CÔNG TY CP ĐẦU TƯ SÀI GÒN VRG,Trần Mạnh Hùng,0305268812,Xây dựng,"5,082,583","5,577,559",TP Hồ Chí Minh
CÔNG TY CP VICOSTONE,Phạm Anh Tuấn,0500469512,"Sản xuất, kinh doanh vật liệu xây dựng","5,659,595","7,070,129",Hà Nội
CÔNG TY CP HÓA DẦU QUÂN ĐỘI (MIPEC),Dư Cao Sơn,0101436307,Kinh doanh xăng dầu và các sản phẩm liên quan,,,Hà Nội
CÔNG TY CP ĐẠI TÂN VIỆT,Didier Lachize,0302505776,"Sản xuất, chế biến và kinh doanh thực phẩm khác",,,TP Hồ Chí Minh
CÔNG TY CP PHÚ TÀI,Lê Văn Thảo,4100259236,"Sản xuất, kinh doanh vật liệu xây dựng","5,601,237","6,491,949",Bình Định
CÔNG TY CP DỊCH VỤ Ô TÔ HÀNG XANH,Nguyễn Thị Ngọc Bích,0302000126,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện","5,569,552","5,551,485",TP Hồ Chí Minh
CÔNG TY CP QUỐC TẾ SƠN HÀ,Lê Hoàng Hà,0100776445,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác","5,360,118","7,074,613",Hà Nội
CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG UNICONS,Võ Hoàng Lâm,0304472276,Xây dựng,,,TP Hồ Chí Minh
CÔNG TY CP DẦU THỰC VẬT TƯỜNG AN,Bùi Thanh Tùng,0303498754,"Sản xuất, chế biến và kinh doanh dầu ăn, mỡ động thực vật",,,TP Hồ Chí Minh
CÔNG TY CP TẬP ĐOÀN ECOPARK,Trần Quốc Việt,0101395308,Kinh doanh bất động sản,,,Hưng Yên
CÔNG TY CP TẬP ĐOÀN CÔNG NGHỆ CMC,Nguyễn Trung Chính,0100244112,Hoạt động thông tin khác,"5,181,109","6,290,385",Hà Nội
CÔNG TY CP GIAO NHẬN VÀ VẬN CHUYỂN IN DO TRẦN,Trần Tuấn Anh,0301909173,Hoạt động khác hỗ trợ cho vận tải,,,TP Hồ Chí Minh
CÔNG TY CP THƯƠNG MẠI XUẤT NHẬP KHẨU THIÊN NAM,Vương Quang Diệu,0301172041,"Kinh doanh kim loại, sắt thép, kim khí…","5,231,863","5,446,937",TP Hồ Chí Minh
CÔNG TY CP SẢN XUẤT NHỰA DUY TÂN,Trần Duy Hy,0306151768,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,,TP Hồ Chí Minh
CÔNG TY CP TẬP ĐOÀN KIM TÍN,Nguyễn Tiến Hải,0303738780,Hoạt động công nghiệp khác,,,TP Hồ Chí Minh
CÔNG TY TNHH XUẤT NHẬP KHẨU CÀ PHÊ MINH TIẾN,Nguyễn Thị Hồng Minh,0101013887,"Sản xuất, chế biến và kinh doanh thực phẩm khác",,,Hà Nội
CÔNG TY TNHH TẬP ĐOÀN XÂY DỰNG DELTA,Trần Thành Vinh,0100512717,Xây dựng,,,Hà Nội
CÔNG TY CP KINH DOANH KHÍ MIỀN NAM,Nguyễn Ngọc Luận,0305097236,Kinh doanh xăng dầu và các sản phẩm liên quan,"4,800,561","5,614,656",TP Hồ Chí Minh
CÔNG TY CP XÂY DỰNG CENTRAL,Trần Quang Tuấn,0314476689,Xây dựng,,,TP Hồ Chí Minh
CÔNG TY CP THÉP VÀ THƯƠNG MẠI HÀ NỘI,Đào Quang Tiến,5400363141,"Kinh doanh kim loại, sắt thép, kim khí…",,,Hòa Bình
CÔNG TY CP TẬP ĐOÀN HÀ ĐÔ,Nguyễn Trọng Thông,0100283802,Kinh doanh bất động sản,"4,998,578","3,777,436",Hà Nội
CÔNG TY CP XUẤT NHẬP KHẨU NHẤT THÀNH,Nguyễn Thọ Anh,0106025519,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",,,Hà Nội
CÔNG TY CP NÔNG SẢN THỰC PHẨM QUẢNG NGÃI,Võ Văn Danh,4300321643,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô","4,963,112","5,445,043",Quảng Ngãi
CÔNG TY CP THƯƠNG MẠI THÀNH THÀNH CÔNG,Phan Vũ Hùng,3700594361,"Sản xuất, chế biến và kinh doanh đường",,,Bình Dương
TỔNG CÔNG TY CP BẢO HIỂM BƯU ĐIỆN,Bùi Xuân Thu,0100774631,Bảo hiểm,"4,734,129","4,963,702",Hà Nội
CÔNG TY CP BÓNG ĐÈN PHÍCH NƯỚC RẠNG ĐÔNG,Nguyễn Đoàn Thăng,0101526991,"Sản xuất, kinh doanh thiết bị điện","4,922,447","5,709,068",Hà Nội
CÔNG TY TNHH HỆ THỐNG THÔNG TIN FPT (FPT IS),Nguyễn Hoàng Minh,0104128565,Hoạt động thông tin khác,,,Hà Nội
CÔNG TY CP CƠ KHÍ XÂY DỰNG THƯƠNG MẠI ĐẠI DŨNG,Trịnh Tiến Dũng,0301932246,Dịch vụ khác,,,TP Hồ Chí Minh
CÔNG TY TNHH TRUNG THÀNH THÁI NGUYÊN,Nguyễn Văn Tốt,4600201989,Bán lẻ khác,,,Thái Nguyên
TẬP ĐOÀN TRUNG NGUYÊN LEGEND,Đặng Lê Nguyên Vũ,0304324655,"Sản xuất, chế biến và kinh doanh đồ uống không cồn",,,TP Hồ Chí Minh
CÔNG TY CP NHỰA BÌNH MINH,Nguyễn Hoàng Ngân,0301464823,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa","4,685,640","4,552,757",TP Hồ Chí Minh
CÔNG TY CP ĐẦU TƯ DỊCH VỤ TÀI CHÍNH HOÀNG HUY,Trần Thị Hoàng Hà,0200117929,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện","4,419,421","2,755,985",Hải Phòng
CÔNG TY CP ĐẦU TƯ XÂY DỰNG NEWTECONS,Trần Kim Long,0303103212,Xây dựng,,,TP Hồ Chí Minh
NGÂN HÀNG TMCP BẢN VIỆT,Ngô Quang Trung,0301378892,Ngân hàng,,,TP Hồ Chí Minh
CÔNG TY CP ĐẦU TƯ VÀ KINH DOANH NHÀ KHANG ĐIỀN,Vương Văn Minh,0302588596,Kinh doanh bất động sản,"4,532,069","3,738,368",TP Hồ Chí Minh
CÔNG TY CP NHỰA THIẾU NIÊN TIỀN PHONG,Chu Văn Phương,0200167782,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa","4,486,111","4,823,525",Hải Phòng
CÔNG TY CP HƯNG THỊNH INCONS,Trần Tiến Thanh,0305371707,Xây dựng,,,TP Hồ Chí Minh
CÔNG TY CP CHỨNG KHOÁN SSI,Nguyễn Hồng Nam,0301955155,Chứng khoán,"2,007,560","1,629,086",TP Hồ Chí Minh
CÔNG TY CP THƯƠNG MẠI DỊCH VỤ CỔNG VÀNG,Đào Thế Vinh,0102721191,Ẩm thực,,,Hà Nội
CÔNG TY CP Á ĐÔNG ADG,Hồ Hoàng Bảo Vinh,0308113486,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,,TP Hồ Chí Minh
CÔNG TY CP ĐẦU TƯ VÀ THƯƠNG MẠI TNG,Nguyễn Văn Thời,4600305723,"Sản xuất, kinh doanh trang phục","4,480,200","5,443,607",Thái Nguyên
CÔNG TY CP THỰC PHẨM SAO TA,Phạm Hoàng Việt,2200208753,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp","4,415,217","5,199,105",Sóc Trăng
CÔNG TY CP GIAO NHẬN VẬN TẢI CON ONG,Đinh Hữu Thạnh,0303482440,Hoạt động khác hỗ trợ cho vận tải,,,TP Hồ Chí Minh
CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ TÂN HIỆP PHÁT,Trần Quý Thanh,0301387752,"Sản xuất, chế biến và kinh doanh đồ uống không cồn",,,Bình Dương
CÔNG TY CP DÂY VÀ CÁP ĐIỆN THƯỢNG ĐÌNH,Phạm Lương Hòa,0100892628,"Sản xuất, kinh doanh thiết bị điện",,,Hà Nội
CÔNG TY TNHH XUÂN LỘC THỌ,Trần Thị Thu Hà,0100736347,"Sản xuất, kinh doanh thiết bị điện",,,Hà Nội
CÔNG TY CP TẬP ĐOÀN PHƯỢNG HOÀNG XANH A&A,Hồ Xuân Năng,0104961939,"Sản xuất, kinh doanh vật liệu xây dựng",,,Hà Nội
CÔNG TY CP THƯƠNG NGHIỆP CÀ MAU,Nguyễn Thị Việt Ánh,2000110221,"Bán lẻ hàng tiêu dùng nhanh trong siêu thị, cửa hàng tiện lợi, chợ truyền thông","4,222,075","3,861,507",Cà Mau
NGÂN HÀNG TMCP KIÊN LONG,Trần Ngọc Minh,1700197787,Ngân hàng,"952,429","1,930,960",Kiên Giang
CÔNG TY CP TẬP ĐOÀN HƯNG THỊNH,Nguyễn Đình Trung,0305410561,Kinh doanh bất động sản,,,TP Hồ Chí Minh
CÔNG TY CP THÉP VIỆT Ý,Nguyễn Thanh Hà,0900222647,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,,Hưng Yên
CÔNG TY CP TẬP ĐOÀN IPC,Phí Phong Hà,0102055583,"Kinh doanh kim loại, sắt thép, kim khí…",,,Hà Nội
CÔNG TY CP AN TIẾN INDUSTRIES,Đặng Thị Quỳnh Phương,5200466372,Hoạt động công nghiệp khác,"4,082,730","8,265,252",Yên Bái
CÔNG TY CP TẬP ĐOÀN THÉP TIẾN LÊN,Phạm Thị Hồng,3600512830,"Kinh doanh kim loại, sắt thép, kim khí…","4,084,531","4,644,781",Đồng Nai
CÔNG TY CP ABC VIỆT NAM,Nguyễn Thị Dịu,0900254448,"Sản xuất, kinh doanh thức ăn chăn nuôi",,,Hưng Yên
CÔNG TY CP ĐẦU TƯ PHAN VŨ,Phan Khắc Long,0302217087,"Sản xuất, kinh doanh vật liệu xây dựng",,,TP Hồ Chí Minh
TỔNG CÔNG TY MAY NHÀ BÈ - CTCP,Phạm Phú Cường,0300398889,"Sản xuất, kinh doanh trang phục","4,021,389","3,081,071",TP Hồ Chí Minh
CÔNG TY TNHH KẾT CẤU THÉP 568,Phạm Ngọc Lan,0900273306,"Kinh doanh kim loại, sắt thép, kim khí…",,,Hưng Yên
TỔNG CÔNG TY CP BẢO MINH,Vũ Anh Tuấn,0300446973,Bảo hiểm,"3,791,577","3,768,684",TP Hồ Chí Minh
CÔNG TY CP CHỨNG KHOÁN VPS,Nguyễn Lâm Dũng,0104979904,Chứng khoán,,,Hà Nội
CÔNG TY CP THUẬN HẢI,Dương Thanh Hải,0305601319,"Khai thác, kinh doanh than và hoạt động hỗ trợ",,,TP Hồ Chí Minh
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ THÀNH TÍN,Trần Thanh Nga,2200208834,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",,,Sóc Trăng
CÔNG TY CP PHÁT TRIỂN BẤT ĐỘNG SẢN PHÁT ĐẠT,Bùi Quang Anh Vũ,0303493756,Kinh doanh bất động sản,,,TP Hồ Chí Minh
CÔNG TY CP GỖ AN CƯỜNG,Lê Đức Nghĩa,3700748131,"Sản xuất, kinh doanh gỗ, sản phẩm từ gỗ và nội thất",,,Bình Dương
CÔNG TY CP LIZEN,Tăng Quốc Thuộc,0302310209,Xây dựng,"3,536,255","1,802,654",TP Hồ Chí Minh
CÔNG TY CP MAY SÔNG HỒNG,Bùi Đức Thịnh,0600333307,"Sản xuất, kinh doanh trang phục","3,813,409","4,747,623",Nam Định
CÔNG TY CP TẬP ĐOÀN SUNHOUSE,Nguyễn Xuân Phú,0101976905,"Sản xuất, kinh doanh đồ dùng gia đình",,,Hà Nội
CÔNG TY TNHH THỨC ĂN GIA SÚC LÁI THIÊU,Nguyễn Thị Kim Anh,3700149709,"Sản xuất, kinh doanh thức ăn chăn nuôi",,,Bình Dương
CÔNG TY CP ĐẦU TƯ TỔNG HỢP HÀ NỘI,Nguyễn Đại Hải,0102287094,Kinh doanh bất động sản,"3,657,493","3,745,725",Hà Nội
CÔNG TY CP PHÚC SINH,Phan MinhThông,0302401061,"Sản xuất, chế biến và kinh doanh đồ uống không cồn",,,TP Hồ Chí Minh
CÔNG TY CP THỰC PHẨM Á CHÂU,Nguyễn Mạnh Hà,3700150020,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp",,,Bình Dương
CÔNG TY CP CÔNG NGHỆ VÀ DỊCH VỤ IMEDIA,Phạm Ngọc Tú,0105837941,Viễn thông,,,Hà Nội
CÔNG TY TNHH TẬP ĐOÀN BIM - BIM GROUP,Đoàn Quốc Huy,5700103433,Kinh doanh bất động sản,,,Quảng Ninh
CÔNG TY CP TẬP ĐOÀN VITTO,Nguyễn Xuân Quang,2500578360,"Sản xuất, kinh doanh vật liệu xây dựng",,,Vĩnh Phúc
CÔNG TY CP CASPER VIỆT NAM,Nguyễn Viết Chung,0107009894,"Sản xuất, kinh doanh thiết bị điện",,,Hà Nội
CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI MINH NGỌC,Đồng Tuấn Vũ,0900237146,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",,,Hưng Yên
CÔNG TY CP THƯƠNG MẠI DỊCH VỤ DẦU KHÍ HẢI PHÁT,Phạm Thị Thu Tâm,3603262480,Kinh doanh xăng dầu và các sản phẩm liên quan,,,Đồng Nai
CÔNG TY CP DATVIET VAC GROUP HOLDINGS,Đinh Bá Thành,0315744468,Quảng cáo và nghiên cứu thị trường,,,TP Hồ Chí Minh
CÔNG TY TNHH THƯƠNG MẠI-DỊCH VỤ-XUẤT NHẬP KHẨU TƯỜNG NGUYÊN,Lê Thị Hoa,1400683063,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu",,,Đồng Tháp
CÔNG TY CP ĐẦU TƯ NĂM BẢY BẢY,Lưu Hải Ca,0303885305,Kinh doanh bất động sản,"3,500,670","565,232",TP Hồ Chí Minh
CÔNG TY CP NHỰA ĐỒNG NAI,Nguyễn Văn Hiếu,3600662561,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,,Đồng Nai
CÔNG TY CP SẢN XUẤT KINH DOANH XUẤT NHẬP KHẨU BÌNH THẠNH,Nguyễn Gia Vinh,0302181666,Hoạt động công nghiệp khác,"3,456,745","4,150,320",TP Hồ Chí Minh
CÔNG TY CP DỆT MAY - ĐẦU TƯ - THƯƠNG MẠI THÀNH CÔNG,JUNG SUNG KWAN,0301446221,"Sản xuất, kinh doanh trang phục","3,469,717","3,535,416",TP Hồ Chí Minh
CÔNG TY CP GENTRACO,Nguyễn Trung Kiên,1800241743,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",,,Cần Thơ
TỔNG CÔNG TY MAY 10 - CTCP,Thân Đức Việt,0100101308,"Sản xuất, kinh doanh trang phục","3,447,303","3,467,349",Hà Nội
CÔNG TY CP TRANSIMEX,Lê Duy Hiệp,0301874259,Hoạt động khác hỗ trợ cho vận tải,"3,418,341","6,381,266",TP Hồ Chí Minh
CÔNG TY CP DỊCH VỤ & KỸ THUẬT CƠ ĐIỆN LẠNH R.E.E,Phạm Công Pháp,0302660700,Hoạt động xây dựng khác,,,TP Hồ Chí Minh
CÔNG TY TNHH THƯƠNG MẠI XUẤT NHẬP KHẨU VIỆT HÀN,Phạm Thị Yến,0101325854,"Sản xuất, kinh doanh thiết bị điện",,,Hà Nội
"CÔNG TY CP DỊCH VỤ LẮP ĐẶT, VẬN HÀNH VÀ BẢO DƯỠNG CÔNG TRÌNH DẦU KHÍ BIỂN PTSC",Dương Hùng Văn,3500818790,Dịch vụ khác,"3,402,137","2,094,113",Bà Rịa - Vũng Tàu
CÔNG TY CP DƯỢC PHẨM THIẾT BỊ Y TẾ HÀ NỘI,Đinh Văn Đông,0100109699,"Kinh doanh, phân phối dược phẩm, thiết bị y tế",,,Hà Nội
CÔNG TY CP NHỰA CHÂU ÂU,Hoàng Quốc Huy,0700253609,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,,Hà Nam
CÔNG TY CP MASCOPEX,Ngô Xuân Nam,4200236666,"Sản xuất, chế biến và kinh doanh thực phẩm tươi sống, đông lạnh",,,Khánh Hòa
CÔNG TY CP PHÁT HÀNH SÁCH TP. HỒ CHÍ MINH - FAHASA,Phạm Minh Thuận,0304132047,"Bán lẻ sách, báo, tạp chí, văn phòng phẩm","3,281,417","2,748,785",TP Hồ Chí Minh
CÔNG TY CỔ PHẦN TẬP ĐOÀN NOVA CONSUMER,Tôn Thất Đề,0301447257,Nông nghiệp,,,TP Hồ Chí Minh
CÔNG TY CP LEC GROUP,Trần Đức Tuân,3502380495,Hoạt động khác hỗ trợ cho vận tải,,,Bà Rịa - Vũng Tàu
